source,loc.correct,country_code,NAME_0,NAME_1,NAME_2,NAME_3
gadm,afghanistan,AF,Afghanistan,NA,NA,NA
gadm,akrotiri dhekelia,XAD,Akrotiri and Dhekelia,NA,NA,NA
gadm,aland islands,AX,Åland Islands,NA,NA,NA
gadm,albania,AL,Albania,NA,NA,NA
gadm,algeria,DZ,Algeria,NA,NA,NA
gadm,american samoa,AS,American Samoa,NA,NA,NA
gadm,andorra,AD,Andorra,NA,NA,NA
gadm,angola,AO,Angola,NA,NA,NA
gadm,anguilla,AI,Anguilla,NA,NA,NA
gadm,antarctica,AQ,Antarctica,NA,NA,NA
gadm,antigua barbuda,AG,Antigua and Barbuda,NA,NA,NA
gadm,antigua barbuda_barbuda,AG,Antigua and Barbuda,Barbuda,NA,NA
gadm,antigua barbuda_redonda,AG,Antigua and Barbuda,Redonda,NA,NA
gadm,antigua barbuda_saint george,AG,Antigua and Barbuda,Saint George,NA,NA
gadm,antigua barbuda_saint john,AG,Antigua and Barbuda,Saint John,NA,NA
gadm,antigua barbuda_saint mary,AG,Antigua and Barbuda,Saint Mary,NA,NA
gadm,antigua barbuda_saint paul,AG,Antigua and Barbuda,Saint Paul,NA,NA
gadm,antigua barbuda_saint peter,AG,Antigua and Barbuda,Saint Peter,NA,NA
gadm,antigua barbuda_saint philip,AG,Antigua and Barbuda,Saint Philip,NA,NA
gadm,argentina,AR,Argentina,NA,NA,NA
gadm,argentina_buenos aires,AR,Argentina,Buenos Aires,NA,NA
gadm,argentina_buenos aires_adolfo alsina,AR,Argentina,Buenos Aires,Adolfo Alsina,NA
gadm,argentina_buenos aires_adolfo gonzales chaves,AR,Argentina,Buenos Aires,Adolfo Gonzales Chaves,NA
gadm,argentina_buenos aires_alberti,AR,Argentina,Buenos Aires,Alberti,NA
gadm,argentina_buenos aires_almirante brown,AR,Argentina,Buenos Aires,Almirante Brown,NA
gadm,argentina_buenos aires_ameghino,AR,Argentina,Buenos Aires,Ameghino,NA
gadm,argentina_buenos aires_arrecifes,AR,Argentina,Buenos Aires,Arrecifes,NA
gadm,argentina_buenos aires_avellaneda,AR,Argentina,Buenos Aires,Avellaneda,NA
gadm,argentina_buenos aires_ayacucho,AR,Argentina,Buenos Aires,Ayacucho,NA
gadm,argentina_buenos aires_azul,AR,Argentina,Buenos Aires,Azul,NA
gadm,argentina_buenos aires_bahia blanca,AR,Argentina,Buenos Aires,Bahía Blanca,NA
gadm,argentina_buenos aires_balcarce,AR,Argentina,Buenos Aires,Balcarce,NA
gadm,argentina_buenos aires_baradero,AR,Argentina,Buenos Aires,Baradero,NA
gadm,argentina_buenos aires_benito juarez,AR,Argentina,Buenos Aires,Benito Juárez,NA
gadm,argentina_buenos aires_berazategui,AR,Argentina,Buenos Aires,Berazategui,NA
gadm,argentina_buenos aires_berisso,AR,Argentina,Buenos Aires,Berisso,NA
gadm,argentina_buenos aires_bolivar,AR,Argentina,Buenos Aires,Bolívar,NA
gadm,argentina_buenos aires_bragado,AR,Argentina,Buenos Aires,Bragado,NA
gadm,argentina_buenos aires_brandsen,AR,Argentina,Buenos Aires,Brandsen,NA
gadm,argentina_buenos aires_campana,AR,Argentina,Buenos Aires,Campana,NA
gadm,argentina_buenos aires_canuelas,AR,Argentina,Buenos Aires,Cañuelas,NA
gadm,argentina_buenos aires_capitan sarmiento,AR,Argentina,Buenos Aires,Capitán Sarmiento,NA
gadm,argentina_buenos aires_carlos casares,AR,Argentina,Buenos Aires,Carlos Casares,NA
gadm,argentina_buenos aires_carlos tejedor,AR,Argentina,Buenos Aires,Carlos Tejedor,NA
gadm,argentina_buenos aires_carmen areco,AR,Argentina,Buenos Aires,Carmen de Areco,NA
gadm,argentina_buenos aires_castelli,AR,Argentina,Buenos Aires,Castelli,NA
gadm,argentina_buenos aires_chacabuco,AR,Argentina,Buenos Aires,Chacabuco,NA
gadm,argentina_buenos aires_chascomus,AR,Argentina,Buenos Aires,Chascomús,NA
gadm,argentina_buenos aires_chivilcoy,AR,Argentina,Buenos Aires,Chivilcoy,NA
gadm,argentina_buenos aires_colon,AR,Argentina,Buenos Aires,Colón,NA
gadm,argentina_buenos aires_coronel dorrego,AR,Argentina,Buenos Aires,Coronel Dorrego,NA
gadm,argentina_buenos aires_coronel marina leonardo rosales,AR,Argentina,Buenos Aires,Coronel de Marina Leonardo Rosales,NA
gadm,argentina_buenos aires_coronel pringles,AR,Argentina,Buenos Aires,Coronel Pringles,NA
gadm,argentina_buenos aires_coronel suarez,AR,Argentina,Buenos Aires,Coronel Suárez,NA
gadm,argentina_buenos aires_daireaux,AR,Argentina,Buenos Aires,Daireaux,NA
gadm,argentina_buenos aires_dolores,AR,Argentina,Buenos Aires,Dolores,NA
gadm,argentina_buenos aires_ensenada,AR,Argentina,Buenos Aires,Ensenada,NA
gadm,argentina_buenos aires_escobar,AR,Argentina,Buenos Aires,Escobar,NA
gadm,argentina_buenos aires_esteban echeverria,AR,Argentina,Buenos Aires,Esteban Echeverría,NA
gadm,argentina_buenos aires_exaltacion cruz,AR,Argentina,Buenos Aires,Exaltación de la Cruz,NA
gadm,argentina_buenos aires_florencio varela,AR,Argentina,Buenos Aires,Florencio Varela,NA
gadm,argentina_buenos aires_general alvarado,AR,Argentina,Buenos Aires,General Alvarado,NA
gadm,argentina_buenos aires_general alvear,AR,Argentina,Buenos Aires,General Alvear,NA
gadm,argentina_buenos aires_general arenales,AR,Argentina,Buenos Aires,General Arenales,NA
gadm,argentina_buenos aires_general belgrano,AR,Argentina,Buenos Aires,General Belgrano,NA
gadm,argentina_buenos aires_general guido,AR,Argentina,Buenos Aires,General Guido,NA
gadm,argentina_buenos aires_general juan madariaga,AR,Argentina,Buenos Aires,General Juan Madariaga,NA
gadm,argentina_buenos aires_general la madrid,AR,Argentina,Buenos Aires,General La Madrid,NA
gadm,argentina_buenos aires_general las heras,AR,Argentina,Buenos Aires,General Las Heras,NA
gadm,argentina_buenos aires_general lavalle,AR,Argentina,Buenos Aires,General Lavalle,NA
gadm,argentina_buenos aires_general paz,AR,Argentina,Buenos Aires,General Paz,NA
gadm,argentina_buenos aires_general pinto,AR,Argentina,Buenos Aires,General Pinto,NA
gadm,argentina_buenos aires_general pueyrredon,AR,Argentina,Buenos Aires,General Pueyrredón,NA
gadm,argentina_buenos aires_general rodriguez,AR,Argentina,Buenos Aires,General Rodríguez,NA
gadm,argentina_buenos aires_general san martin,AR,Argentina,Buenos Aires,General San Martín,NA
gadm,argentina_buenos aires_general sarmiento,AR,Argentina,Buenos Aires,General Sarmiento,NA
gadm,argentina_buenos aires_general viamonte,AR,Argentina,Buenos Aires,General Viamonte,NA
gadm,argentina_buenos aires_general villegas,AR,Argentina,Buenos Aires,General Villegas,NA
gadm,argentina_buenos aires_guamini,AR,Argentina,Buenos Aires,Guaminí,NA
gadm,argentina_buenos aires_hipolito yrigoyen,AR,Argentina,Buenos Aires,Hipólito Yrigoyen,NA
gadm,argentina_buenos aires_junin,AR,Argentina,Buenos Aires,Junín,NA
gadm,argentina_buenos aires_la costa,AR,Argentina,Buenos Aires,La Costa,NA
gadm,argentina_buenos aires_la matanza,AR,Argentina,Buenos Aires,La Matanza,NA
gadm,argentina_buenos aires_la plata,AR,Argentina,Buenos Aires,La Plata,NA
gadm,argentina_buenos aires_lanus,AR,Argentina,Buenos Aires,Lanús,NA
gadm,argentina_buenos aires_laprida,AR,Argentina,Buenos Aires,Laprida,NA
gadm,argentina_buenos aires_las flores,AR,Argentina,Buenos Aires,Las Flores,NA
gadm,argentina_buenos aires_leandro n. alem,AR,Argentina,Buenos Aires,Leandro N. Alem,NA
gadm,argentina_buenos aires_lincoln,AR,Argentina,Buenos Aires,Lincoln,NA
gadm,argentina_buenos aires_loberia,AR,Argentina,Buenos Aires,Lobería,NA
gadm,argentina_buenos aires_lobos,AR,Argentina,Buenos Aires,Lobos,NA
