collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
NA_NA,NA,NA,NA,"United States National Arboretum, USDA-ARS",NA
General herbarium_A,General herbarium,A,A,Harvard University,NA
HERB_A,HERB,A,A,Harvard University,NA
VascularPlants_A,VascularPlants,A,A,Harvard University,NA
HU-HERB_A,HU-HERB,A,A,Harvard University,NA
A_A,A,A,A,Harvard University,NA
A_Harvard University,A,Harvard University,A,Harvard University,NA
A_HU,A,HU,A,Harvard University,NA
HU-Herb_HU,HU-Herb,HU,A,Harvard University,NA
AA_AA,AA,AA,AA,"Ministry of Science, Academy of Sciences",NA
AAG_AAG,AAG,AAG,AAG,Universidad Nacional de Costa Rica,NA
AAH_AAH,AAH,AAH,AAH,"Arnold Arboretum, Harvard University",NA
AAMU_AAMU,AAMU,AAMU,AAMU,Alabama Agricultural and Mechanical University,NA
AAR_AAR,AAR,AAR,AAR,Reliquae Aaronsohnianae,NA
AARI_AARI,AARI,AARI,AARI,Annakkili Amma Research Institute AARI,NA
Antarctic Plant Database_AAS,Antarctic Plant Database,AAS,AAS,British Antarctic Survey,NA
AAS_AAS,AAS,AAS,AAS,British Antarctic Survey,NA
AASU_AASU,AASU,AASU,AASU,Armstrong State University,NA
HERB_AAU,HERB,AAU,AAU,Aarhus University,NA
Herbarium_AAU,Herbarium,AAU,AAU,Aarhus University,NA
University of Aarhus_AAU,University of Aarhus,AAU,AAU,Aarhus University,NA
AAU_AAU,AAU,AAU,AAU,Aarhus University,NA
AAU_AU,AAU,AU,AAU,Aarhus University,code not found
AAUB_AAUB,AAUB,AAUB,AAUB,Anhui Agricultural University,NA
AAUF_AAUF,AAUF,AAUF,AAUF,Anhui Agricultural University,NA
ABD_ABD,ABD,ABD,ABD,University of Aberdeen,NA
ABDAM_ABDAM,ABDAM,ABDAM,ABDAM,Aberdeen Art Gallery and Museum,NA
ABDC_ABDC,ABDC,ABDC,ABDC,Aba Institute for Drug Control,NA
ABDF_ABDF,ABDF,ABDF,ABDF,University of Aberdeen,NA
ABDH_ABDH,ABDH,ABDH,ABDH,UAE University,NA
ABDM_ABDM,ABDM,ABDM,ABDM,"Marischal College, University of Aberdeen",NA
ABFM_ABFM,ABFM,ABFM,ABFM,The Barnes Foundation Arboretum,not in IH
ABG_ABG,ABG,ABG,ABG,Altai Botanical Garden,NA
ABGI_ABGI,ABGI,ABGI,ABGI,Amur Branch of Botanical Garden-Institute of the Far East Branch of the Russian Academy of Sciences,NA
ABH_ABH,ABH,ABH,ABH,Universidad de Alicante,NA
ABHCH_ABHCH,ABHCH,ABHCH,ABHCH,"Laboratory of Natural Resource Valorisation, SNV Faculty, Setif 1 University, 19000 Setif, Algeria",NA
ABI_ABI,ABI,ABI,ABI,Centre ORSTOM d'Adiopodoume,NA
ABL_ABL,ABL,ABL,ABL,Adviesbureau voor Bryologie en Lichenologie,NA
ABN_ABN,ABN,ABN,ABN,Radley College,NA
ABO_ABO,ABO,ABO,ABO,Aboyne Castle,NA
ABRN_ABRN,ABRN,ABRN,ABRN,Centre for Ecology and Hydrology,NA
ABS_ABS,ABS,ABS,ABS,University of Wales,NA
ABSH_ABSH,ABSH,ABSH,ABSH,Southern Illinois University,NA
ABSL_ABSL,ABSL,ABSL,ABSL,University of Minnesota,NA
ABSM_ABSM,ABSM,ABSM,ABSM,Duke University,NA
ABT_ABT,ABT,ABT,ABT,Laboratoire de Biologie Végétale et d'Ecologie Forestière,NA
ABUH_ABUH,ABUH,ABUH,ABUH,"Ahmadu Bello University, Zaria",NA
AC_AC,AC,AC,AC,Amherst College,NA
ACA_ACA,ACA,ACA,ACA,Agricultural University of Athens,NA
ACAD_ACAD,ACAD,ACAD,ACAD,Acadia University,NA
ACAD_Acadia University,ACAD,Acadia University,ACAD,Acadia University,NA
CBU_Acadia University,CBU,Acadia University,ACAD,Acadia University,NA
ACAM_ACAM,ACAM,ACAM,ACAM,Agricultural University of Athens,NA
ACAM-UEPB_ACAM-UEPB,ACAM-UEPB,ACAM-UEPB,ACAM-UEPB,Universidade Estadual da Paraíba,not in IH
ACAM_JBRJ,ACAM,JBRJ,ACAM-UEPB,Universidade Estadual da Paraíba,not in IH
ACC_ACC,ACC,ACC,ACC,Oak Hill Park Museum,NA
ACCw_ACCw,ACCw,ACCw,ACCw,Institute of Ecology and Systematic,xylarium|not in IH
ACD_ACD,ACD,ACD,ACD,Alemaya University of Agriculture,NA
ACE_ACE,ACE,ACE,ACE,Anhui College of Education,NA
ACFS_ACFS,ACFS,ACFS,ACFS,Aurora College,NA
ACH_ACH,ACH,ACH,ACH,National Mycology Reference Centre,NA
ACHE_ACHE,ACHE,ACHE,ACHE,Institute of Terrestrial Ecology,NA
ACK_ACK,ACK,ACK,ACK,"Agriculture and Agri-Food Canada, substation of Lethbridge Research Centre",NA
ACM_ACM,ACM,ACM,ACM,Anhui College of Traditional Chinese Medicine,NA
ACOR_ACOR,ACOR,ACOR,ACOR,Universidad Nacional de Córdoba,NA
ACU_ACU,ACU,ACU,ACU,Abilene Christian University,NA
AD_AD,AD,AD,AD,State Herbarium of South Australia,NA
HERB_AD,HERB,AD,AD,State Herbarium of South Australia,NA
ADA_ADA,ADA,ADA,ADA,Department of Agriculture,NA
ADK_ADK,ADK,ADK,ADK,Adirondack Mountain Club,NA
ADMONT_ADMONT,ADMONT,ADMONT,ADMONT,Benediktinerstift Admont,NA
ADO_ADO,ADO,ADO,ADO,Kirikkale University,NA
ADR_ADR,ADR,ADR,ADR,Adrian College,NA
ADRZ_ADRZ,ADRZ,ADRZ,ADRZ,"Natural History Museum, port RIJEKA",NA
ADT_ADT,ADT,ADT,ADT,Antarctic Division,NA
ADU_ADU,ADU,ADU,ADU,University of Adelaide,NA
ADW_ADW,ADW,ADW,ADW,University of Adelaide,NA
AEF_AEF,AEF,AEF,AEF,University of Ankara,NA
AES_AES,AES,AES,AES,University of Alaska,NA
AF_AF,AF,AF,AF,Tibet Plateau Institute of Biology,NA
AFES_AFES,AFES,AFES,AFES,Maritimes Forest Research Centre,NA
AFKNU_AFKNU,AFKNU,AFKNU,AFKNU,al-Farabi Kazakh National University,NA
AFM_AFM,AFM,AFM,AFM,NA,not in IH
AFR_AFR,AFR,AFR,AFR,Fundação Jardim Botânico de Poços de Caldas,NA
AFR_FJBPC,AFR,FJBPC,AFR,Fundação Jardim Botânico de Poços de Caldas,NA
University of Michigan_AFS,University of Michigan,AFS,AFS,American Fern Society Herbarium,NA
AFS_AFS,AFS,AFS,AFS,American Fern Society Herbarium,NA
AGMT_AGMT,AGMT,AGMT,AGMT,Associazione Gruppi Micologici Toscani,NA
AGU_AGU,AGU,AGU,AGU,Astrakhan State University,NA
AGUAT_AGUAT,AGUAT,AGUAT,AGUAT,Universidad de San Carlos,NA
