source,kingdom,name,name.correct,order.correct,class.correct
apg_v14|col_v2025,plantae,Abietaceae,Pinaceae,Pinales,Pinopsida
apg_v14,plantae,Abolbodaceae,Xyridaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Abrophyllaceae,Rousseaceae,Asterales,Magnoliopsida
apg_v14,plantae,Acaciaceae,Fabaceae,Fabales,Magnoliopsida
apg_v14,plantae,Acalyphaceae,Euphorbiaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Acanthaceae,Acanthaceae,Lamiales,Magnoliopsida
apg_v14,plantae,Acanthochlamydaceae,Velloziaceae,Pandanales,Liliopsida
apg_v14|col_v2025,plantae,Acarnaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14|col_v2025,plantae,Aceraceae,Sapindaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Achariaceae,Achariaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Achatocarpaceae,Achatocarpaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Achradaceae,Sapotaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Achyranthaceae,Amaranthaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Acmopylaceae,Podocarpaceae,Cupressales,Pinopsida
apg_v14|col_v2025,plantae,Aconitaceae,Ranunculaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Acoraceae,Acoraceae,Acorales,Liliopsida
apg_v14,plantae,Acristaceae,Arecaceae,Arecales,Liliopsida
apg_v14|col_v2025,plantae,Acrostichaceae,Pteridaceae,Polypodiales,Polypodiopsida
apg_v14|col_v2025,plantae,Actaeaceae,Ranunculaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Actinidiaceae,Actinidiaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Actiniopteridaceae,Pteridaceae,Polypodiales,Polypodiopsida
apg_v14|col_v2025,plantae,Actinotaceae,Apiaceae,Apiales,Magnoliopsida
apg_v14|col_v2025,plantae,Adenogrammaceae,Molluginaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Adiantaceae,Pteridaceae,Polypodiales,Polypodiopsida
apg_v14|col_v2025,plantae,Adoxaceae,Viburnaceae,Dipsacales,Magnoliopsida
apg_v14|col_v2025,plantae,Aegialitidaceae,Plumbaginaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Aegicerataceae,Primulaceae,Ericales,Magnoliopsida
apg_v14,plantae,Aegilopaceae,Poaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Aeginetiaceae,Orobanchaceae,Lamiales,Magnoliopsida
apg_v14,plantae,Aegiphilaceae,Lamiaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Aesculaceae,Sapindaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Aextoxicaceae,Aextoxicaceae,Berberidopsidales,Magnoliopsida
apg_v14,plantae,Agapanthaceae,Amaryllidaceae,Asparagales,Liliopsida
apg_v14,plantae,Agavaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Agdestidaceae,Phytolaccaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Agialidaceae,Zygophyllaceae,Zygophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Agrimoniaceae,Rosaceae,Rosales,Magnoliopsida
apg_v14,plantae,Agrostidaceae,Poaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Ailanthaceae,Simaroubaceae,Sapindales,Magnoliopsida
apg_v14,plantae,Aitoniaceae,Meliaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Aizoaceae,Aizoaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Ajugaceae,Lamiaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Akaniaceae,Akaniaceae,Brassicales,Magnoliopsida
apg_v14,plantae,Alangiaceae,Cornaceae,Cornales,Magnoliopsida
apg_v14|col_v2025,plantae,Alchemillaceae,Rosaceae,Rosales,Magnoliopsida
apg_v14|col_v2025,plantae,Aldrovandaceae,Droseraceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Alismataceae,Alismataceae,Alismatales,Liliopsida
apg_v14,plantae,Alliaceae,Amaryllidaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Allioniaceae,Nyctaginaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Allophylaceae,Sapindaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Alniphyllaceae,Styracaceae,Ericales,Magnoliopsida
apg_v14,plantae,Aloaceae,Asphodelaceae,Asparagales,Liliopsida
apg_v14,plantae,Alopecuraceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Alpiniaceae,Zingiberaceae,Zingiberales,Liliopsida
apg_v14|col_v2025,plantae,Alseuosmiaceae,Alseuosmiaceae,Asterales,Magnoliopsida
apg_v14|col_v2025,plantae,Alsinaceae,Caryophyllaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Alsodeiaceae,Violaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Alsophilaceae,Cyatheaceae,Cyatheales,Polypodiopsida
apg_v14|col_v2025,plantae,Alstroemeriaceae,Alstroemeriaceae,Liliales,Liliopsida
apg_v14|col_v2025,plantae,Altingiaceae,Altingiaceae,Saxifragales,Magnoliopsida
apg_v14|col_v2025,plantae,Alzateaceae,Alzateaceae,Myrtales,Magnoliopsida
apg_v14|col_v2025,plantae,Amaranthaceae,Amaranthaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Amaryllidaceae,Amaryllidaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Amborellaceae,Amborellaceae,Amborellales,Magnoliopsida
apg_v14|col_v2025,plantae,Ambrosiaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14,plantae,Amentotaxaceae,Taxaceae,Cupressales,Pinopsida
apg_v14|col_v2025,plantae,Ammanniaceae,Lythraceae,Myrtales,Magnoliopsida
apg_v14|col_v2025,plantae,Ammiaceae,Apiaceae,Apiales,Magnoliopsida
apg_v14,plantae,Amomaceae,Zingiberaceae,Zingiberales,Liliopsida
apg_v14|col_v2025,plantae,Ampelopsidaceae,Vitaceae,Vitales,Magnoliopsida
apg_v14,plantae,Amphorogynaceae,Santalaceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Amygdalaceae,Rosaceae,Rosales,Magnoliopsida
apg_v14|col_v2025,plantae,Amyridaceae,Rutaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Anacampserotaceae,Anacampserotaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Anacardiaceae,Anacardiaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Anagallidaceae,Primulaceae,Ericales,Magnoliopsida
apg_v14,plantae,Anarthriaceae,Restionaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Anchusaceae,Boraginaceae,Boraginales,Magnoliopsida
apg_v14|col_v2025,plantae,Ancistrocladaceae,Ancistrocladaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Andromedaceae,Ericaceae,Ericales,Magnoliopsida
apg_v14,plantae,Andropogonaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Androstachyaceae,Picrodendraceae,Malpighiales,Magnoliopsida
apg_v14,plantae,Androsynaceae,Tecophilaeaceae,Asparagales,Liliopsida
apg_v14,plantae,Anemarrhenaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Anemonaceae,Ranunculaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Angelicaceae,Apiaceae,Apiales,Magnoliopsida
apg_v14,plantae,Angeloniaceae,Plantaginaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Angiopteridaceae,Marattiaceae,Marattiales,Polypodiopsida
apg_v14|col_v2025,plantae,Anisophylleaceae,Anisophylleaceae,Cucurbitales,Magnoliopsida
apg_v14|col_v2025,plantae,Annonaceae,Annonaceae,Magnoliales,Magnoliopsida
apg_v14,plantae,Anomochloaceae,Poaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Anopteraceae,Escalloniaceae,Escalloniales,Magnoliopsida
apg_v14,plantae,Anopteridaceae,Pteridaceae,Polypodiales,Polypodiopsida
apg_v14|col_v2025,plantae,Anrederaceae,Basellaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Anthemidaceae,Asteroideae,Asterales,Magnoliopsida
apg_v14,plantae,Anthericaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14,plantae,Anthobolaceae,Opiliaceae,Santalales,Magnoliopsida
apg_v14,plantae,Anthoxanthaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Antidesmataceae,Phyllanthaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Antirrhinaceae,Plantaginaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Antoniaceae,Loganiaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Antrophyaceae,Pteridaceae,Polypodiales,Polypodiopsida
apg_v14,plantae,Aparinaceae,Rubiaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Aphanopetalaceae,Aphanopetalaceae,Saxifragales,Magnoliopsida
apg_v14|col_v2025,plantae,Aphloiaceae,Aphloiaceae,Crossosomatales,Magnoliopsida
apg_v14,plantae,Aphyllanthaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Apiaceae,Apiaceae,Apiales,Magnoliopsida
apg_v14|col_v2025,plantae,Apocynaceae,Apocynaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Apodanthaceae,Apodanthaceae,Cucurbitales,Magnoliopsida
apg_v14|col_v2025,plantae,Aponogetonaceae,Aponogetonaceae,Alismatales,Liliopsida
apg_v14,plantae,Aporusaceae,Phyllanthaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Aposeridaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14,plantae,Apostasiaceae,Orchidaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Aptandraceae,Aptandraceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Aquifoliaceae,Aquifoliaceae,Aquifoliales,Magnoliopsida
apg_v14|col_v2025,plantae,Aquilariaceae,Thymelaeaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Aquilegiaceae,Ranunculaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Arabidaceae,Brassicaceae,Brassicales,Magnoliopsida
