order,status,source,loc,loc.correct,latitude.gazetteer,longitude.gazetteer,resolution.gazetteer,priority
26965,ok,cncflora,brazil_acre_acrelandia_km 21,brazil_acre_acrelandia_km 21,-9.897119,-66.942238,localidade,1
28359,ok,cncflora,brazil_acre_acrelandia_seringal novo acordo,brazil_acre_acrelandia_seringal novo acordo,-9.933333,-67.016667,localidade,1
28361,ok,cncflora,brazil_acre_brasileia_seringal porongaba,brazil_acre_brasileia_seringal porongaba,-10.87552,-68.693214,localidade,1
28574,ok,cncflora,brazil_acre_brasileia_seu silva,brazil_acre_brasileia_seu silva,-10.85815514,-68.66725782,localidade,1
26692,ok,cncflora,brazil_acre_bujari_floresta estadual antimary,brazil_acre_bujari_floresta estadual antimary,-9.372933,-68.277238,localidade,1
26184,ok,cncflora,brazil_acre_cruzeiro sul_comunidade santo antonio,brazil_acre_cruzeiro sul_comunidade santo antonio,-8.235833,-73.049722,localidade,1
26804,ok,cncflora,brazil_acre_cruzeiro sul_igarape apui,brazil_acre_cruzeiro sul_igarape apui,-7.925923962,-72.88723682,localidade,1
26829,ok,cncflora,brazil_acre_cruzeiro sul_igarape periquito,brazil_acre_cruzeiro sul_igarape periquito,-8.132157,-73.23134,localidade,1
27846,ok,cncflora,brazil_acre_cruzeiro sul_ramal carobas,brazil_acre_cruzeiro sul_ramal carobas,-7.62722,-72.676993,localidade,1
27849,ok,cncflora,brazil_acre_cruzeiro sul_ramal pentecostes,brazil_acre_cruzeiro sul_ramal pentecostes,-7.570283,-72.831956,localidade,1
27945,ok,cncflora,brazil_acre_cruzeiro sul_reserva incra santa luzia,brazil_acre_cruzeiro sul_reserva incra santa luzia,-7.771292,-72.377433,localidade,1
28117,ok,cncflora,brazil_acre_cruzeiro sul_rio jarua,brazil_acre_cruzeiro sul_rio jarua,-7.936913931,-72.77676669,localidade,1
28132,ok,cncflora,brazil_acre_cruzeiro sul_rio jurua,brazil_acre_cruzeiro sul_rio jurua,-8.024738,-72.757654,localidade,1
28133,ok,cncflora,brazil_acre_cruzeiro sul_rio jurua mirim,brazil_acre_cruzeiro sul_rio jurua mirim,-8.244651,-73.090973,localidade,1
28158,ok,cncflora,brazil_acre_cruzeiro sul_rio moura,brazil_acre_cruzeiro sul_rio moura,-7.911765887,-72.85039481,localidade,1
26828,ok,cncflora,brazil_acre_feijo_igarape parana ouro,brazil_acre_feijo_igarape parana ouro,-8.475011414,-70.55437816,localidade,1
25896,ok,cncflora,brazil_acre_mancio lima_cachoeira ar condicionado,brazil_acre_mancio lima_cachoeira ar condicionado,-7.453176361,-73.69387358,localidade,1
26477,ok,cncflora,brazil_acre_mancio lima_fazenda arizona,brazil_acre_mancio lima_fazenda arizona,-7.417121254,-73.6332099,localidade,1
28156,ok,cncflora,brazil_acre_mancio lima_rio moa,brazil_acre_mancio lima_rio moa,-7.621025,-73.877673,localidade,1
28343,ok,cncflora,brazil_acre_mancio lima_sao domingos,brazil_acre_mancio lima_sao domingos,-7.551361,-72.965203,localidade,1
28494,ok,cncflora,brazil_acre_mancio lima_serra moa,brazil_acre_mancio lima_serra moa,-7.498812425,-73.73050485,localidade,1
27364,ok,cncflora,brazil_acre_manoel urbano_modulo chandless,brazil_acre_manoel urbano_modulo chandless,-9.394602031,-69.913706,localidade,1
28353,ok,cncflora,brazil_acre_manoel urbano_parque estadual chandless,brazil_acre_manoel urbano_parque estadual chandless,-9.358121493,-69.92667457,localidade|sublocalidade,1
28358,ok,cncflora,brazil_acre_manoel urbano_seringal escondido,brazil_acre_manoel urbano_seringal escondido,-8.992,-69.55,localidade|sublocalidade,1
28363,ok,cncflora,brazil_acre_manoel urbano_seringal terra nova,brazil_acre_manoel urbano_seringal terra nova,-9.111086161,-69.79465156,localidade|sublocalidade,1
26790,ok,cncflora,brazil_acre_porto walter_humaita,brazil_acre_porto walter_humaita,-8.263514,-72.733379,localidade,1
26822,ok,cncflora,brazil_acre_porto walter_igarape humaita,brazil_acre_porto walter_igarape humaita,-8.321093653,-72.65196959,localidade,1
27706,ok,cncflora,brazil_acre_porto walter_porangaba,brazil_acre_porto walter_porangaba,-8.661621699,-72.81478456,localidade,1
26541,ok,cncflora,brazil_acre_rio branco_fazenda experimental catuaba,brazil_acre_rio branco_fazenda experimental catuaba,-10.07046281,-67.56998134,localidade,1
27427,ok,cncflora,brazil_acre_rio branco_parque chico mendes,brazil_acre_rio branco_parque chico mendes,-10.03756,-67.793073,localidade,1
28090,ok,cncflora,brazil_acre_rio branco_rio espalha,brazil_acre_rio branco_rio espalha,-10.20321241,-68.69159127,localidade,1
28192,ok,cncflora,brazil_acre_santa rosa purus_rio purus,brazil_acre_santa rosa purus_rio purus,-9.123512795,-70.13419147,localidade,1
27705,ok,cncflora,brazil_acre_sena madureira_porangaba,brazil_acre_sena madureira_porangaba,-9.991149346,-68.99239501,localidade,1
28100,ok,cncflora,brazil_acre_sena madureira_rio iaco,brazil_acre_sena madureira_rio iaco,-9.439066276,-68.73495092,localidade,1
28138,ok,cncflora,brazil_acre_sena madureira_rio macaua,brazil_acre_sena madureira_rio macaua,-9.991221619,-69.63874671,localidade,1
28612,ok,cncflora,brazil_acre_sena madureira_sao jose,brazil_acre_sena madureira_sao jose,-9.399986,-68.733351,localidade,1
25819,ok,cncflora,brazil_acre_senador guiomard_br 364 km 93,brazil_acre_senador guiomard_br 364 km 93,-10.083259,-67.535102,localidade,1
27597,ok,cncflora,brazil_acre_senador guiomard_peixes amazonia centro tecnologico producao alevinos,brazil_acre_senador guiomard_peixes amazonia centro tecnologico producao alevinos,-10.08678751,-67.53761327,localidade,1
25715,ok,cncflora,brazil_acre_tarauaca_bacia rio jurua,brazil_acre_tarauaca_bacia rio jurua,-8.279578695,-71.08863981,localidade|sublocalidade,1
26448,ok,cncflora,brazil_acre_xapuri_estrada xapuri km 11,brazil_acre_xapuri_estrada xapuri km 11,-10.720825,-68.43868,localidade,1
26945,ok,cncflora,brazil_acre_xapuri_km 12,brazil_acre_xapuri_km 12,-10.724899,-68.430419,localidade,1
26994,ok,cncflora,brazil_acre_xapuri_km 6,brazil_acre_xapuri_km 6,-10.699852,-68.46218,localidade,1
28360,ok,cncflora,brazil_acre_xapuri_seringal porongaba,brazil_acre_xapuri_seringal porongaba,-10.701529,-68.62395,localidade,1
28527,ok,cncflora,brazil_alagoas_cha preta_serra cavaleiros / serra lisa,brazil_alagoas_cha preta_serra cavaleiros / serra lisa,-9.220394,-36.351564,localidade,1
28279,ok,cncflora,brazil_alagoas_colonia leopoldina_rppn estrela sul,brazil_alagoas_colonia leopoldina_rppn estrela sul,-8.931697198,-35.68273996,localidade,1
26504,ok,cncflora,brazil_alagoas_coruripe_fazenda capiata a,brazil_alagoas_coruripe_fazenda capiata a,-10.061592,-36.290773,localidade,1
26505,ok,cncflora,brazil_alagoas_coruripe_fazenda capiata b,brazil_alagoas_coruripe_fazenda capiata b,-10.12720771,-36.2983424,localidade,1
28044,ok,cncflora,brazil_alagoas_coruripe_rio coruripe,brazil_alagoas_coruripe_rio coruripe,-10.12901479,-36.24037903,localidade,1
28791,ok,cncflora,brazil_alagoas_coruripe_usina coruripe,brazil_alagoas_coruripe_usina coruripe,-10.11941,-36.275964,localidade,1
27703,ok,cncflora,brazil_alagoas_feliz deserto_pontes,brazil_alagoas_feliz deserto_pontes,-10.258807,-36.38176,localidade,1
28899,ok,cncflora,brazil_alagoas_flexeiras_aguas belas,brazil_alagoas_flexeiras_aguas belas,-9.197777965,-35.7808329,localidade,1
28410,ok,cncflora,brazil_alagoas_flexeiras_serra saudinha,brazil_alagoas_flexeiras_serra saudinha,-9.247235,-35.780964,localidade,1
27745,ok,cncflora,brazil_alagoas_junqueiro_povoado olho 'agua,brazil_alagoas_junqueiro_povoado olho 'agua,-9.888051111,-36.43276314,localidade|sublocalidade,1
28789,ok,cncflora,brazil_alagoas_maceio_usina cachoeira meirim,brazil_alagoas_maceio_usina cachoeira meirim,-9.443112,-35.735668,localidade,1
26502,ok,cncflora,brazil_alagoas_mar vermelho_fazenda canada,brazil_alagoas_mar vermelho_fazenda canada,-9.480367,-36.382306,localidade,1
28292,ok,cncflora,brazil_alagoas_maragogi_rppn reserva fazenda bosque,brazil_alagoas_maragogi_rppn reserva fazenda bosque,-8.995317686,-35.33028526,localidade,1
26289,ok,cncflora,brazil_alagoas_marechal deodoro_dunas cavalo russo,brazil_alagoas_marechal deodoro_dunas cavalo russo,-9.79192,-35.869601,localidade,1
27789,ok,cncflora,brazil_alagoas_marechal deodoro_praia frances,brazil_alagoas_marechal deodoro_praia frances,-9.766434,-35.839943,localidade,1
26492,ok,cncflora,brazil_alagoas_maribondo_fazenda boca mata,brazil_alagoas_maribondo_fazenda boca mata,-9.567994,-36.365413,localidade,1
28300,ok,cncflora,brazil_alagoas_matriz camaragibe_rppn serra agua,brazil_alagoas_matriz camaragibe_rppn serra agua,-9.111619,-35.573852,localidade,1
28409,ok,cncflora,brazil_alagoas_messias_serra saudinha,brazil_alagoas_messias_serra saudinha,-9.337267075,-35.80618483,localidade,1
26490,ok,cncflora,brazil_alagoas_palmeira indios_fazenda boa sorte,brazil_alagoas_palmeira indios_fazenda boa sorte,-9.336244015,-36.67929867,localidade,1
26464,ok,cncflora,brazil_alagoas_palmeira indios_fazenda fortaleza,brazil_alagoas_palmeira indios_fazenda fortaleza,-9.351116,-36.67004135,localidade,1
28425,ok,cncflora,brazil_alagoas_palmeira indios_serra pias,brazil_alagoas_palmeira indios_serra pias,-9.326464,-36.687615,localidade,1
26550,ok,cncflora,brazil_alagoas_penedo_fazenda gameleira,brazil_alagoas_penedo_fazenda gameleira,-10.093794,-36.487702,localidade,1
27102,ok,cncflora,brazil_alagoas_penedo_marituba peixe,brazil_alagoas_penedo_marituba peixe,-10.289659,-36.387558,localidade,1
