source,tax,tax.rank,full.name1,tdwg.name,tax.kingdom
huh,Poaceae,family,(=Simon?) Laegaard,Laegaard,plantae
huh,Poaceae,family,(=Simon?) Laegaard,"Laegaard, S.",plantae
huh,Convolvulaceae,family,(Gustav) Albert Peter,"Peter, A.",plantae
huh,Convolvulaceae,family,(Gustav) Albert Peter,"Peter, A.",plantae
huh,Hydrophyllaceae,family,(Gustav) Albert Peter,"Peter, A.",plantae
huh,Hydrophyllaceae,family,(Gustav) Albert Peter,"Peter, A.",plantae
huh,Polemoniaceae,family,(Gustav) Albert Peter,"Peter, A.",plantae
huh,Polemoniaceae,family,(Gustav) Albert Peter,"Peter, A.",plantae
huh,Convolvulaceae,family,(Gustav) Albert Peter,"Peter, G.A.",plantae
huh,Hydrophyllaceae,family,(Gustav) Albert Peter,"Peter, G.A.",plantae
huh,Polemoniaceae,family,(Gustav) Albert Peter,"Peter, G.A.",plantae
huh,Xyridaceae,family,[Lars] Albert NIlsson,"Nilsson, A.",plantae
huh,Xyridaceae,family,[Lars] Albert NIlsson,"Nilsson, L.A.",plantae
huh,Aquifoliaceae,family,[Ludwig Eduard] Theodor Loesener,Loesener,plantae
huh,Aquifoliaceae,family,[Ludwig Eduard] Theodor Loesener,"Loesener, E.T.",plantae
huh,Aquifoliaceae,family,[Ludwig Eduard] Theodor Loesener,"Loesener, L.E.T.",plantae
huh,Aquifoliaceae,family,[Ludwig Eduard] Theodor Loesener,"Loesener, T.",plantae
huh,Cactaceae,family,A T. Powell,"Powell, A.T.",plantae
herbaria,Combretaceae,family,A. A. Alwan,"Alwan, A.A.",plantae
huh,Poaceae,family,A. A. Ataeva,"Ataeva, A.A.",plantae
huh,Fabaceae,family,A. A. Avazneli,"Avazneli, A.A.",plantae
huh,Polygonaceae,family,A. E. Borodina,"Borodina, A.E.",plantae
huh,Polygonaceae,family,A. E. Borodina,"Borodina, A.E.",plantae
huh,Polygonaceae,family,A. E. Borodina,"Grabovskaja, A.E.",plantae
