order,source,author.ID,name,variant.name,author.name,author.abbrev,standard.name,full.name,geog.author,geog.collector,family,family.obs,full.name1,tdwg.name,last.name,finger.print,family1,obs
1,huh,48285,"Hansen, Bertel",Bertel Hansen,B. Hansen,B. Hansen,B. Hansen,"Hansen, Bertel",Denmark,Denmark,Balanophoraceae,NA,Bertel Hansen,"Hansen, B.",hansen,abehnns,"[author note: Balanophoraceae, Acanthaceae, Rutaceae, and Xyridaceae] [collector note: C]",
2,huh,72229,"Balkwill, Mandy-Jan",Mandy-Jan Balkwill,M. Balkwill,M. Balkwill,M. Balkwill,"Balkwill, Mandy-Jan",South Africa,NA,Acanthaceae,NA,Mandy-Jan Balkwill,"Balkwill, M.",balkwill,abiklllmw,[author note: J: Acanthaceae],
3,huh,60187,"Barker, Robyn Mary",Robyn Mary Barker,R. M. Barker,R. M. Barker,R. M. Barker,"Barker, Robyn Mary",Australia (Country),NA,Acanthaceae,NA,Robyn Mary Barker,"Barker, R.M.",barker,abekmrrr,"[author note: Acanthaceae, Malvaceae (Abutilon and Sida)]",
4,huh,31123,"Bidgood, Gillian Sally","Bidgood, G. S.",Bidgood,Bidgood,G. S. Bidgood,"Bidgood, Gillian Sally",NA,Ethiopia; Tanzania,Acanthaceae,NA,Gillian Sally Bidgood,"Bidgood, G.S.",bidgood,bddggioos,"[author note: K; tropical Africa; Acanthaceae, Bignoniaceae] [collector note: K]",
5,huh,60651,"Hedren, Bo Christer Mikael",Bo Christer Mikael HedrÇn,HedrÇn,HedrÇn,HedrÇn,"Hedren, Bo Christer Mikael",Sweden,NA,Acanthaceae,NA,Bo Christer Mikael Hedren,"Hedren, B.C.M.",hedren,bcdeehmnr,"[author note: UPS: Acanthaceae, Cyperaceae]",
6,huh,429,"Brummitt, Richard Kenneth",Richard Kenneth Brummit,Brummitt,Brummitt,R. K. Brummitt,"Brummitt, Richard Kenneth",NA,South Africa,Acanthaceae,NA,Richard Kenneth Brummitt,"Brummitt, R.K.",brummitt,bikmmrrttu,"[author note: K; Acanthaceae; nomenclature, Flora Zambesica] [collector note: K]",
7,huh,429,"Brummitt, Richard Kenneth",Richard Kenneth Brummit,Brummitt,Brummitt,R. K. Brummitt,"Brummitt, Richard Kenneth",NA,South Africa,Acanthaceae,NA,Richard Kenneth Brummitt,"Brummit, R.K.",brummit,bikmmrrtu,"[author note: K; Acanthaceae; nomenclature, Flora Zambesica] [collector note: K]",
8,huh,221,"Hu, Chia-Chi",Chia-Chi Hua,C. C. Hu,C. C. Hu,C. C. Hu,"Hu, Chia-Chi",China,NA,Acanthaceae,NA,Chia-Chi Hu,"Chia-Chi, H.",chia-chi,acchhhii,"[author note: Acanthaceae, Caprifoliaceae, Leguminosae, Ecology; FUS [The data on this name was verified by Hu on 12 Dec 1997]]",
9,huh,221,"Hu, Chia-Chi",Chia-Chi Hua,C. C. Hu,C. C. Hu,C. C. Hu,"Hu, Chia-Chi",China,NA,Acanthaceae,NA,Chia-Chi Hu,"Hua, C.",hua,achu,"[author note: Acanthaceae, Caprifoliaceae, Leguminosae, Ecology; FUS [The data on this name was verified by Hu on 12 Dec 1997]]",
10,huh,25878,"Ezcurra, Cecilia",Cecilia Ezcurra,C. Ezcurra,C. Ezcurra,C. Ezcurra,"Ezcurra, Cecilia",Argentina,Argentina,Asteraceae,"Mutisieae, Barnadesioideae",Cecilia Ezcurra,"Ezcurra, C.",ezcurra,accerruz,[author note: SI; Asteraceae-Mutisieae; Acanthaceae; Apocynaceae.] [collector note: SI],
11,huh,35404,"Hsieh, Chang-Fu",Chang-Fu Hsieh,C. F. Hsieh,C. F. Hsieh,C. F. Hsieh,"Hsieh, Chang-Fu",China,China,Acanthaceae,NA,Chang-Fu Hsieh,"Hsieh, C.",hsieh,cehhis,"[author note: TAI; Acanthaceae, vegetation science] [collector note: Taiwan; TAI]",
12,huh,64241,"Castellanos, Salvador Acosta",Salvador Acosta Castellanos,S. A. Castellanos,S. A. Cast.,S. A. Castellanos,"Castellanos, Salvador Acosta",Mexico,NA,Acanthaceae,NA,Salvador Acosta Castellanos,"Castellanos, S.A.",castellanos,aaacellnossst,"[author note: Acanthaceae, Poaceae]",
13,huh,48285,"Hansen, Bertel",Bertel Hansen,B. Hansen,B. Hansen,B. Hansen,"Hansen, Bertel",Denmark,Denmark,Acanthaceae,NA,Bertel Hansen,"Hansen, B.",hansen,abehnns,"[author note: Balanophoraceae, Acanthaceae, Rutaceae, and Xyridaceae] [collector note: C]",
14,huh,48285,"Hansen, Bertel",Bertel Hansen,B. Hansen,B. Hansen,B. Hansen,"Hansen, Bertel",Denmark,Denmark,Rutaceae,NA,Bertel Hansen,"Hansen, B.",hansen,abehnns,"[author note: Balanophoraceae, Acanthaceae, Rutaceae, and Xyridaceae] [collector note: C]",
15,huh,48285,"Hansen, Bertel",Bertel Hansen,B. Hansen,B. Hansen,B. Hansen,"Hansen, Bertel",Denmark,Denmark,Xyridaceae,NA,Bertel Hansen,"Hansen, B.",hansen,abehnns,"[author note: Balanophoraceae, Acanthaceae, Rutaceae, and Xyridaceae] [collector note: C]",
16,huh,30666,"Durkee, L. H.",L. H. Durkee,Durkee,Durkee,L. H. Durkee,"Durkee, L. H.",USA,USA,Acanthaceae,NA,L. H. Durkee,"Durkee, L.H.",durkee,deehklru,[author note: GRI: Acanthaceae of Central America] [collector note: GRI],
17,huh,88761,"Tripp, Erin Anne",Erin Anne Tripp,E. A. Tripp,E. A. Tripp,E. A. Tripp,"Tripp, Erin Anne",USA,Costa Rica; Guyana; Mexico; USA,Acanthaceae,NA,Erin Anne Tripp,"Tripp, E.A.",tripp,aeipprt,"Research: vascular plants: Acanthaceae and general flora of Guyana / tepui highlands; Lichens: Eastern North America [collector note: BRG, CAS, DUKE, IBUG, MEXU, MO, NY, PH, US, SERBO] Example of Name Published: Ruellia geayi (Benoist) E. A. Tripp, Syst. Bot. 32: 644. 2007 (Spermat.); Acanthothecis leucopepla (Tuck.) E. A. Tripp & Lendemer 2010 (Lichen)",
18,huh,61240,"Moylan, Elizabeth C.",Elizabeth C. Moylan,Moylan,Moylan,Moylan,"Moylan, Elizabeth C.",NA,NA,Acanthaceae,NA,Elizabeth C. Moylan,"Moylan, E.C.",moylan,acelmnoy,[author note: OXF; Acanthaceae],
19,huh,24780,"Hiriart, Patricia","Hiriart, P.",Hiriart,Hiriart,P. Hiriart,"Hiriart, Patricia",NA,Mexico,Acanthaceae,NA,Patricia Hiriart,"Hiriart, P.",hiriart,ahiiprrt,"[collector note: Acanthaceae; col. with F. Gonzalez-Medrano & F. Chiang; MEXU, TEX]",
20,huh,28021,"Munday, J.",J. Munday,Munday,Munday,J. Munday,"Munday, J.",South Africa,South Africa,Acanthaceae,NA,J. Munday,"Munday, J.",munday,adjmnuy,"[author note: J: Acanthaceae, Poaceae, poisonous plants] [collector note: J]",
21,huh,7621,"Vollesen, Kaj Borge",Kai Vollesen,Vollesen,Vollesen,K. B. Vollesen,"Vollesen, Kaj Borge",NA,Ethiopia; Tanzania,Acanthaceae,NA,Kaj Borge Vollesen,"Vollesen, K.B.",vollesen,beekllnosv,[author note: K; African Acanthaceae] [collector note: K],
22,huh,7621,"Vollesen, Kaj Borge",Kai Vollesen,Vollesen,Vollesen,K. B. Vollesen,"Vollesen, Kaj Borge",NA,Ethiopia; Tanzania,Acanthaceae,NA,Kaj Borge Vollesen,"Vollesen, K.",vollesen,eekllnosv,[author note: K; African Acanthaceae] [collector note: K],
23,huh,30520,"McDade, Lucinda A.",Lucinda A. McDade,McDade,McDade,L. A. McDade,"McDade, Lucinda A.",USA,USA,Acanthaceae,NA,Lucinda A. McDade,"Mcdade, L.A.",mcdade,aacddelm,"[author note: DUKE: Neotropical Acanthaceae, reproductive biology] [collector note: DUKE]",
24,huh,81494,"Pennington, Richard Toby",Richard Toby Pennington,R. T. Pennington,R. T. Penn.,R. T. Pennington,"Pennington, Richard Toby",NA,NA,Acanthaceae,NA,Richard Toby Pennington,"Pennington, R.T.",pennington,eginnnnoprtt,"[author note: Herbarium and types: E. Acanthaceae, Fabaceae, flora of Peru]",
25,huh,20702,"Prof°ce, Sheila Regina",Sheila Regina Profice,Profice,Profice,S. R. Prof°ce,"Prof°ce, Sheila Regina",Brazil,Brazil,Acanthaceae,NA,Sheila Regina ProfÌce,"Profice, S.R.",profice,cefioprrs,[author note: RB; Acanthaceae] [collector note: RB],
26,huh,69492,"Scotland, Robert W.",Robert W. Scotland,Scotland,Scotland,R. W. Scotland,"Scotland, Robert W.",NA,NA,Acanthaceae,NA,Robert W. Scotland,"Scotland, R.W.",scotland,acdlnorstw,[author note: Univ. Oxford; Acanthaceae],
27,huh,32378,"Theobald, William Louis",William Louis Theobald,W. L. Theobald,W. L. Theob.,W. L. Theobald,"Theobald, William Louis",USA,USA,Apiaceae,NA,William Louis Theobald,"Theobald, W.L.",theobald,abdehllotw,"[author note: PTBG: Comparative anatomy of Apiaceae, Acanthaceae and Gesneriaceae of Sri Lanka] [collector note: Hawaiian Is. (& other Pacific Is.?): BISH, PTBG]",
28,huh,60148,"Liang, Chou-Fen(g)",Chou-Fen Liang,C. F. Liang,C. F. Liang,C. F. Liang,"Liang, Chou-Fen(g)",China,NA,Aristolochiaceae,NA,Chou-Fen(g) Liang,"Liang, C.",liang,acgiln,"[author note: IBK; Aristolochiaceae, Actinidiaceae]",
29,huh,39250,"Soejarto, Djaja Djendoel",Doel Soejarto,Soejarto,Soejarto,D. D. Soejarto,"Soejarto, Djaja Djendoel",Indonesia; USA,Colombia; Philippines,Actinidiaceae,NA,Djaja Djendoel Soejarto,"Soejarto, D.D.",soejarto,addejoorst,"[author note: F; Actinidiaceae (Saurauia), economic botany] [collector note: HUA (imp. col. from mainly Antioquia).]",
30,huh,39250,"Soejarto, Djaja Djendoel",Doel Soejarto,Soejarto,Soejarto,D. D. Soejarto,"Soejarto, Djaja Djendoel",Indonesia; USA,Colombia; Philippines,Actinidiaceae,NA,Djaja Djendoel Soejarto,"Soejarto, D.",soejarto,adejoorst,"[author note: F; Actinidiaceae (Saurauia), economic botany] [collector note: HUA (imp. col. from mainly Antioquia).]",
