order,standard_name,gbif,splink,splink2gbif,jabot,jabot_old,example,gbif_description,plantR_status
13,collectionCode,collectioncode,collectioncode,collectionCode,collectionCode,siglacolecao,USCH,An identifier of any form assigned by the source to identify the physical collection or digital dataset uniquely within the context of an institution.,input_required
8,catalogNumber,catalognumber,catalognumber,catalogNumber,catalogNumber,numtombo,727626,"An identifier of any form assigned by the source within a physical collection or digital dataset for the record which may not be unique, but should be fairly unique in combination with the institution and collection code.",input_required
111,recordNumber,recordnumber,collectornumber,recordNumber,recordNumber,numcoleta,7764,An identifier given to the record at the time it was recorded in the field.,input_required
109,recordedBy,recordedby,collector,recordedBy,recordedBy,coletor,"Bradley, Keith",The person who recorded the occurrence.,input_required
133,year,year,yearcollected,year,year,anocoleta,2017,The 4 digit year. A year of 98 will be interpreted as AD 98. Supports range queries.,input_required
93,month,month,monthcollected,month,month,mescoleta,10,"The month of the year, starting with 1 for January. Supports range queries.",input_optional
27,day,day,daycollected,day,day,diacoleta,26,,input_optional
18,country,country,country,country,country,pais,Brasil,The 2-letter country code (as per ISO-3166-1) of the country in which the occurrence was recorded.,input_required
122,stateProvince,stateProvince,stateprovince,stateProvince,stateProvince,estado_prov,São Paulo,"he name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",input_required
95,municipality,municipality,county,municipality,municipality,cidade,Tapiraí,,input_required
84,locality,locality,locality,locality,locality,descrlocal,Cape Romain National Wildlife Refuge,The specific description of the place.,input_optional
29,decimalLatitude,decimallatitude,latitude,decimalLatitude,decimalLatitude,latitude,-32.912776,Latitude in decimals between -90 and 90 based on WGS 84.. Supports range queries.,input_required
30,decimalLongitude,decimallongitude,longitude,decimalLongitude,decimalLongitude,longitude,-79.58104,Longitude in decimals between -180 and 180 based on WGS 84.. Supports range queries.,input_required
70,identifiedBy,identifiedby,identifiedby,identifiedBy,identifiedBy,determinador,"Bradley, Keith",,input_required
26,dateIdentified,dateIdentified,yearidentified,dateIdentified,dateIdentified,NA,2018-05-01T00:00:00Z,,input_required
129,typeStatus,typestatus,typestatus,typeStatus,typeStatus,nat_typus,Paratype,"Nomenclatural type (type status, typified scientific name, publication) applied to the subject.",input_required
49,family,family,family,family,family,familia,Myricaceae,,input_optional
56,genus,genus,genus,genus,genus,genero,Morella,,input_optional
117,scientificName,scientificName,scientificname,scientificName,scientifname,scientificName,Morella cerifera,"A scientific name from the GBIF backbone. All included and synonym taxa are included in the search. Under the hood a call to the species match service is done first to retrieve a taxonKey. Only unique scientific names will return results, homonyms (many monomials) return nothing! Consider to use the taxonKey parameter instead and the species match service directly",input_required
118,scientificNameAuthorship,scientificNameAuthorship,scientificnameauthor,scientificNameAuthorship,scientificNameAuthorship,autorsp,Burret,,input_required
75,institutionCode,institutioncode,institutioncode,institutioncode,institutionCode,intituto,USCH,An identifier of any form assigned by the source to identify the institution the record belongs to. Not guaranteed to be unique.,input_required
22,datasetkey,datasetkey,NA,datasetkey,NA,NA,a92de2e1-647c-43f2-a8b7-ab1c1a6453dd,The occurrence dataset key (a uuid).,input_optional
99,occurrenceRemarks,occurrenceRemarks,notes,occurrenceRemarks,occurrenceRemarks,notas,"Estipe, 4m, frutos acastanhandos",,input_optional
1,acceptedScientificName,acceptedScientificName,NA,NA,NA,NA,Syagrus hoehnei Burret,,output
2,altprof,NA,NA,NA,NA,altprof,800,,input_unnecessary
3,altura,NA,NA,NA,NA,altura,,,input_unnecessary
4,aux_nomecompunidgeo_invertido,NA,NA,NA,NA,aux_nomecompunidgeo_invertido,"Brasil, Bahia, Poções",,input_unnecessary
5,basisOfRecord,basisofrecord,basisofrecord,basisofrecord,NA,tipoespecime,PRESERVED_SPECIMEN,"Basis of record, as defined in our BasisOfRecord enum",input_optional
