"","name","decimallongitude","decimallatitude","city","country","address","source","type","geocoding.precision.m","geocoding.issue","geocoding.source","inside.ptoected.area.WDPAID","pais"
"3","Aarhus University, Science Museums",10.2019,56.1676,"Aarhus","DNK",NA,"indexherbariorum","Herbarium",1000,NA,"RS",NA,"Denmark"
"4","Aathal Dinosaur Museum",8.762,47.3389,"Aathal","CHE",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Switzerland"
"6","Abant Izzet Baysal Universitesi, Fen-Edebiyat Fakultesi, Biyoloji Bolumu",31.51535,40.71397,"Bolu","TUR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Turkey"
"7","Aberdeen Art Gallery and Museum",-2.1025,57.148,"Aberdeen","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
"8","Abernethy Nature-Heritage Museum",-103.4184,50.7461,"Abernethy","CAN",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Canada"
"9","Abiko City Museum of Birds",140.0297,35.8612,"Abiko","JPN",NA,"wikipedia","Museum",1000,NA,"JA",555575282,"Japan"
"11","Abilene Christian University, Department of Biology",-99.708,32.4712,"Abilene","USA","1600 Campus Court","indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"15","Abo Akademi University, Biology Department",22.2776,60.451,"Turku","FIN",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Finland"
"17","Abovian Pedagogical Institute, Botany Department",44.52393,40.17515,"Yerevan","ARM",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Armenia"
"18","Aboyne Castle",-2.7831,57.0847,"Aboyne","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
"22","Academia de Ciencias Camaguey, Centro de Investigaciones de Medio Ambiente",-77.9342,21.3848,"Camagey","CUB",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Cuba"
"24","Academia de Ciencias Medicas, Fisicas y Naturales de La Habana",-82.3516,23.1369,"Habana","CUB",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"Cuba"
"28","Academia Sinica and State Planning Commission, Commission for Integrated Survey of Natural Resources",NA,NA,"Beijing","CHN",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"China"
"33","Academia Sinica, Institute of Botany",NA,NA,"Shanghai","CHN",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"China"
"36","Academy of Military Medical Sciences, Institute of Pharmacology and Toxicology",NA,NA,"Beijing","CHN",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"China"
"37","Academy of Natural Sciences",-75.1716,39.9563,"Philadelphia","USA",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"39","Academy of Natural Sciences, Botany Department",-75.1675,39.9588,"Philadelphia","USA","Logan Square","indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"43","Academy of Science, Uzbekistan, Institute of Botany",69.2866,41.3065,"Tashkent","UZB",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"Uzbekistan"
"46","Academy of Sciences of Azerbaijan, Botanical Institute",49.8138,40.3732,"Baku","AZE",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Azerbaijan"
"48","Academy of Sciences of Moldova, Botanical Garden",28.8833,46.9747,"Kishinev","MDA",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Moldova"
"51","Acadia University, K C Irving Environmental Science Centre  Harriet Irving Botanical Gardens",-64.36838,45.08749,"Wolfville","CAN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Canada"
"52","Acadia University, Wildlife Museum",-64.3668,45.0886,NA,"CAN",NA,"grbioorg","Museum",10,NA,"StS",NA,"Canada"
"53","Accademia dei Fisiocritici Onlus",11.33082,43.31409,"Siena","ITA",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Italy"
"55","Adam Mickiewicz University Botanical Garden in Poznan",16.9154,52.4084,"Poznan","POL",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Poland"
"56","Adam Mickiewicz University, Department of Plant Ecology and Environment Protection",16.9154,52.4084,"Poznan","POL",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Poland"
"57","Adam Mickiewicz University, Faculty of Biology, Department of Plant Taxonomy",16.9154,52.4084,"Poznan","POL",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Poland"
"58","Adam Mickiewicz University, The Natural History Collections Faculty",16.9154,52.4084,"Poznan","POL",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Poland"
"61","Adams State College, Biology Department",-105.8833,37.4711,"Alamosa","USA","Porter Hall","indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"64","Addis Ababa University, Science Faculty, Biology Department",38.7637,9.0336,"Addis Ababa","ETH",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"Ethiopia"
"65","Adger Museum of Natural History and Botanical Garden",8.0033,58.1588,"Kristiansand S","NOR","Gimle Grd, Gimleveien 23.","grbioorg","Museum",10,NA,"automatic",NA,"Norway"
"66","Adger Museum of Natural History and Botanical Garden, Botany Department",8.0033,58.1588,"Kristiansand","NOR","Gimle Grd, Gimleveien 23","indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Norway"
"69","Adrian College, Biology Department",-84.0592,41.8986,"Adrian","USA",NA,"indexherbariorum","Herbarium",1000,"general_institution","JA",NA,"United States"
"70","Adviesbureau voor Bryologie en Lichenologie",5.28502,52.17453,"Soest","NLD",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Netherlands"
"73","Aegean Agricultural Research Institute, Department of Plant Genetic Resources",NA,NA,"Izmir","TUR",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"Turkey"
"75","African Forest",36.25,-0.45,"Elementaita","KEN",NA,"BCGI","Botanic_garden",10,NA,"automatic",555622003,"Kenya"
"76","Agder Museum of Natural History and Botanical Garden",8.0033,58.1588,"Kristiansand","NOR","531 S College Ave., 250 Townsend Hall","GBIF","Museum",10,NA,"automatic",NA,"Norway"
"77","Agder Natural History Museum",8.0033,58.1588,"Kristiansand","NOR","Postboks 6050 Langnes 9037","GBIF","Museum",10,NA,"automatic",NA,"Norway"
"78","Agder Natural History Museum and Botanical Garden",8.0033,58.1588,"Kristiansand","NOR",NA,"wikipedia","Museum",10,NA,"automatic",NA,"Norway"
"79","Age of Fishes Museum",148.6601,-33.5623,"Canowindra","AUS",NA,"wikipedia","Museum",10,NA,"automatic",NA,"Australia"
"83","Agharkar Research Institute, Maharashtra Association for the Cultivation of Science, Botany Group",73.8306,18.52,"Pune","IND",NA,"indexherbariorum","Herbarium",1000,"general_institution","JA",NA,"India"
"84","Agharkar Research Institute, Plant Sciences Division, Mycology and Plant Pathology Department",73.8314,18.5207,"Pune","IND",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"India"
"87","Agnes Scott College, Biology Department",-84.2946,33.7692,"Decatur","USA",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"90","Agricultural Academy, Botany Department",16.9004,52.4326,"Poznan","POL",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Poland"
"93","Agricultural Experiment Station",NA,NA,"Lviv","UKR",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"Ukraine"
"95","Agricultural Research Center, Flora and Phytotaxonomy Research",31.2112,30.0207,"Cairo","EGY","Agricultural Museum Building, Dokki","indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Egypt"
"97","Agricultural Research Centre, Plant Pathology Department",NA,NA,"Tikkurila","FIN",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"Finland"
"100","Agricultural Research Council-Range and Forage Institute",28.27631,-25.73168,"Pretoria","ZAF","Vegetation Ecology Building, Roodeplaat Experimental Farm, Roodeplaat (about 30 km from Pretoria)","indexherbariorum","Herbarium",10,NA,"automatic",NA,"South Africa"
