order,collection.string,collectioncode.gbif,institutioncode.gbif,name,records,pub.date,citation,license,datasetkey,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,total accessioned,geography,exchange,current status,notes,commenced date,incorporated herbaria,associatedHerbaria,latitude,longitude,physical street address,physical city,physical state,physical post code,physical country,col.OBS,,Herbarium vouchers Y/N,Herbarium vouchers Y (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,name,,,,,,,Collection acronym,institution,,,,Collection size (# specimens),Collection specialisation,,,Last update,,,Online database,,,adress,City,,,Country,,,,
1,BAw_NA,BAw,NA,"Museo Argentino de Ciencias Naturales ""B. Rivadavia""",,,,,,,BAw,,,,,1000,"Argentina, Paraguay",,,Last update: 2016,,,,,,"Av. Ángel Gallardo 470, 1405 Buenos Aires",SUCURSAL,,,Argentina,xylarium,,Y,
2,,,,Facultad de Ciencias Agrarias y Forestales,,,,,,,,Universidad Nacional de La Plata,,,,1000,Argentina,,,Last update: 2016,,,www.maderasenargentina.com.ar,,,,LA PLATA,,,Argentina,xylarium,,?,
3,LILw_NA,LILw,NA,Xiloteca of the Herbarium of the Fundation Miguel Lillo,,,,,,,LILw,Foundation Miguel Lillo - Institut Miguel Lillo,,,,1319,northwestern and northeastern Argentina,,,Last update: 2002,,,,,,"Miguel Lillo 251, Tucuman",TUCUMAN,,,Argentina,xylarium,,Y,15
4,CQTw_NA,CQTw,NA,Queensland Department of Agriculture,,,,,,,CQTw,Fisheries and Forestry,,,,10000,Queensland species attaining 30 cm in diameter,,,Last update: 2016,,,,,,"Ecosciences Precinct, 41 Boggo Road, Dutton Park, Brisbane, Queensland 4102; and 50 Evans Road, Salisbury, Queensland 4107",BRISBANE,,,Australia,xylarium,,N,
5,BOKUw_NA,BOKUw,NA,University of Natural Resources and Life Sciences – BOKU,,,,,,,BOKUw,Institute of Wood Technology and Renewable Resources,,,,,Austrian wood species (including shrubs),,,Last update: 2016,,,,,,,VIENNA,,,Austria,xylarium,,?,
6,VFw_NA,VFw,NA,Abteilung fur Biologische Holzforschung an der Forstlichen Bundesversuchsanstalt,,,,,,,VFw,,,,,1466,European and commercial timbers from overseas,,,Last update: 1988,,,,,,"Hauptstrasse 7, A 1140 Wien",VIENNA,,,Austria,xylarium,,Y,for all AT and EU samples
7,CHITw_NA,CHITw,NA,,,,,,,,CHITw,Forest Research Institute,,,,1400,Bangladesh,,,Last update: 1988,,,,,,P.O. Box 273,CHITTAGONG,,,Bangladesh,xylarium,,Y,80
8,Tw_NA,Tw,NA,Tervuren Xylarium,,,,,,,Tw,Royal Museum for Central Africa,,,,69000,"Worldwide, especially Central Africa",,,Last update: 2015,,,http://www.africamuseum.be/collections/browsecollections/naturalsciences/earth/xylarium,,,"Leuvensesteenweg 13, B-3080 Tervuren",TERVUREN,,,Belgium,xylarium,,Y (elsewhere),32
