"order","source","kingdom","name","name.correct","order.correct","class.correct"
1,"apg_v14|col_v2025","plantae","Abietaceae","Pinaceae","Pinales","Pinopsida"
2,"apg_v14","plantae","Abolbodaceae","Xyridaceae","Poales","Liliopsida"
3,"apg_v14|col_v2025","plantae","Abrophyllaceae","Rousseaceae","Asterales","Magnoliopsida"
4,"apg_v14","plantae","Acaciaceae","Fabaceae","Fabales","Magnoliopsida"
5,"apg_v14","plantae","Acalyphaceae","Euphorbiaceae","Malpighiales","Magnoliopsida"
6,"apg_v14|col_v2025","plantae","Acanthaceae","Acanthaceae","Lamiales","Magnoliopsida"
7,"apg_v14","plantae","Acanthochlamydaceae","Velloziaceae","Pandanales","Liliopsida"
8,"apg_v14|col_v2025","plantae","Acarnaceae","Asteraceae","Asterales","Magnoliopsida"
9,"apg_v14|col_v2025","plantae","Aceraceae","Sapindaceae","Sapindales","Magnoliopsida"
10,"apg_v14|col_v2025","plantae","Achariaceae","Achariaceae","Malpighiales","Magnoliopsida"
11,"apg_v14|col_v2025","plantae","Achatocarpaceae","Achatocarpaceae","Caryophyllales","Magnoliopsida"
12,"apg_v14","plantae","Achradaceae","Sapotaceae","Ericales","Magnoliopsida"
13,"apg_v14|col_v2025","plantae","Achyranthaceae","Amaranthaceae","Caryophyllales","Magnoliopsida"
14,"apg_v14","plantae","Acmopylaceae","Podocarpaceae","Cupressales","Pinopsida"
15,"apg_v14|col_v2025","plantae","Aconitaceae","Ranunculaceae","Ranunculales","Magnoliopsida"
16,"apg_v14|col_v2025","plantae","Acoraceae","Acoraceae","Acorales","Liliopsida"
17,"apg_v14","plantae","Acristaceae","Arecaceae","Arecales","Liliopsida"
18,"apg_v14|col_v2025","plantae","Acrostichaceae","Pteridaceae","Polypodiales","Polypodiopsida"
19,"apg_v14|col_v2025","plantae","Actaeaceae","Ranunculaceae","Ranunculales","Magnoliopsida"
20,"apg_v14|col_v2025","plantae","Actinidiaceae","Actinidiaceae","Ericales","Magnoliopsida"
21,"apg_v14|col_v2025","plantae","Actiniopteridaceae","Pteridaceae","Polypodiales","Polypodiopsida"
22,"apg_v14|col_v2025","plantae","Actinotaceae","Apiaceae","Apiales","Magnoliopsida"
23,"apg_v14|col_v2025","plantae","Adenogrammaceae","Molluginaceae","Caryophyllales","Magnoliopsida"
24,"apg_v14|col_v2025","plantae","Adiantaceae","Pteridaceae","Polypodiales","Polypodiopsida"
25,"apg_v14|col_v2025","plantae","Adoxaceae","Viburnaceae","Dipsacales","Magnoliopsida"
26,"apg_v14|col_v2025","plantae","Aegialitidaceae","Plumbaginaceae","Caryophyllales","Magnoliopsida"
27,"apg_v14|col_v2025","plantae","Aegicerataceae","Primulaceae","Ericales","Magnoliopsida"
28,"apg_v14","plantae","Aegilopaceae","Poaceae","Poales","Liliopsida"
29,"apg_v14|col_v2025","plantae","Aeginetiaceae","Orobanchaceae","Lamiales","Magnoliopsida"
30,"apg_v14","plantae","Aegiphilaceae","Lamiaceae","Lamiales","Magnoliopsida"
31,"apg_v14|col_v2025","plantae","Aesculaceae","Sapindaceae","Sapindales","Magnoliopsida"
32,"apg_v14|col_v2025","plantae","Aextoxicaceae","Aextoxicaceae","Berberidopsidales","Magnoliopsida"
33,"apg_v14","plantae","Agapanthaceae","Amaryllidaceae","Asparagales","Liliopsida"
34,"apg_v14","plantae","Agavaceae","Asparagaceae","Asparagales","Liliopsida"
35,"apg_v14|col_v2025","plantae","Agdestidaceae","Phytolaccaceae","Caryophyllales","Magnoliopsida"
36,"apg_v14|col_v2025","plantae","Agialidaceae","Zygophyllaceae","Zygophyllales","Magnoliopsida"
37,"apg_v14|col_v2025","plantae","Agrimoniaceae","Rosaceae","Rosales","Magnoliopsida"
38,"apg_v14","plantae","Agrostidaceae","Poaceae","Poales","Liliopsida"
39,"apg_v14|col_v2025","plantae","Ailanthaceae","Simaroubaceae","Sapindales","Magnoliopsida"
40,"apg_v14","plantae","Aitoniaceae","Meliaceae","Sapindales","Magnoliopsida"
41,"apg_v14|col_v2025","plantae","Aizoaceae","Aizoaceae","Caryophyllales","Magnoliopsida"
42,"apg_v14","plantae","Ajugaceae","Lamiaceae","Lamiales","Magnoliopsida"
43,"apg_v14|col_v2025","plantae","Akaniaceae","Akaniaceae","Brassicales","Magnoliopsida"
44,"apg_v14","plantae","Alangiaceae","Cornaceae","Cornales","Magnoliopsida"
45,"apg_v14|col_v2025","plantae","Alchemillaceae","Rosaceae","Rosales","Magnoliopsida"
46,"apg_v14|col_v2025","plantae","Aldrovandaceae","Droseraceae","Caryophyllales","Magnoliopsida"
47,"apg_v14|col_v2025","plantae","Alismataceae","Alismataceae","Alismatales","Liliopsida"
48,"apg_v14","plantae","Alliaceae","Amaryllidaceae","Asparagales","Liliopsida"
49,"apg_v14|col_v2025","plantae","Allioniaceae","Nyctaginaceae","Caryophyllales","Magnoliopsida"
