order,source,status,country_code,state_code,county_code,code,NAME_0,NAME_1,NAME_2,NAME_3,NAME_4,loc,loc.correct,latitude.gazetteer,longitude.gazetteer,resolution.gazetteer,AtlanticForest_Lei11428,AreaAF.prop_Lei11428,leiMA.prop_novo_conferir,AtlanticForest_Biomas_MMA,biome,checagem,warning,loc.best
22153,gadm,ok,AF,NA,NA,NA,Afghanistan,NA,NA,NA,NA,afghanistan,afghanistan,33.82841536,66.02958642,country,NA,NA,NA,NA,NA,NA,NA,NA
22154,gadm,ok,XAD,NA,NA,NA,Akrotiri and Dhekelia,NA,NA,NA,NA,akrotiri dhekelia,akrotiri dhekelia,35.0196184,33.79169288,country,NA,NA,NA,NA,NA,NA,NA,NA
22155,gadm,ok,AX,NA,NA,NA,Åland Islands,NA,NA,NA,NA,aland islands,aland islands,60.22135526,19.97446979,country,NA,NA,NA,NA,NA,NA,NA,NA
22156,gadm,ok,AL,NA,NA,NA,Albania,NA,NA,NA,NA,albania,albania,41.14069959,20.06304034,country,NA,NA,NA,NA,NA,NA,NA,NA
22157,gadm,ok,DZ,NA,NA,NA,Algeria,NA,NA,NA,NA,algeria,algeria,28.15836348,2.67714795,country,NA,NA,NA,NA,NA,NA,NA,NA
22158,gadm,ok,AS,NA,NA,NA,American Samoa,NA,NA,NA,NA,american samoa,american samoa,-14.30033443,-170.7176184,country,NA,NA,NA,NA,NA,NA,NA,NA
22159,gadm,ok,AD,NA,NA,NA,Andorra,NA,NA,NA,NA,andorra,andorra,42.54380002,1.575153087,country,NA,NA,NA,NA,NA,NA,NA,NA
22160,gadm,ok,AO,NA,NA,NA,Angola,NA,NA,NA,NA,angola,angola,-12.33829954,17.57806391,country,NA,NA,NA,NA,NA,NA,NA,NA
22161,gadm,ok,AI,NA,NA,NA,Anguilla,NA,NA,NA,NA,anguilla,anguilla,18.21473629,-63.05439849,country,NA,NA,NA,NA,NA,NA,NA,NA
34744,gbif_gsg,Erro,NA,NA,NA,NA,anguilla,guadeloupe,NA,NA,NA,anguilla_guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34745,gbif_gsg,Erro,NA,NA,NA,NA,anguilla,saint barthelemy,NA,NA,NA,anguilla_saint barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34746,gbif_gsg,Erro,NA,NA,NA,NA,anguilla,saint kitts,NA,NA,NA,anguilla_saint kitts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34747,gbif_gsg,Erro,NA,NA,NA,NA,anguilla,virgin islands,NA,NA,NA,anguilla_virgin islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22162,gadm,ok,AQ,NA,NA,NA,Antarctica,NA,NA,NA,NA,antarctica,antarctica,-80.56189203,20.81412516,country,NA,NA,NA,NA,NA,NA,NA,NA
22163,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,NA,NA,NA,NA,antigua barbuda,antigua barbuda,17.07729258,-61.79838806,country,NA,NA,NA,NA,NA,NA,NA,NA
22164,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Barbuda,NA,NA,NA,antigua barbuda_barbuda,antigua barbuda_barbuda,17.63153069,-61.79337819,state,NA,NA,NA,NA,NA,NA,NA,NA
22165,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Redonda,NA,NA,NA,antigua barbuda_redonda,antigua barbuda_redonda,16.93850255,-62.34538783,state,NA,NA,NA,NA,NA,NA,NA,NA
22166,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Saint George,NA,NA,NA,antigua barbuda_saint george,antigua barbuda_saint george,17.12249311,-61.79612992,state,NA,NA,NA,NA,NA,NA,NA,NA
22167,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Saint John,NA,NA,NA,antigua barbuda_saint john,antigua barbuda_saint john,17.11280876,-61.83638186,state,NA,NA,NA,NA,NA,NA,NA,NA
22168,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Saint Mary,NA,NA,NA,antigua barbuda_saint mary,antigua barbuda_saint mary,17.05178487,-61.85618081,state,NA,NA,NA,NA,NA,NA,NA,NA
22169,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Saint Paul,NA,NA,NA,antigua barbuda_saint paul,antigua barbuda_saint paul,17.0333942,-61.77298293,state,NA,NA,NA,NA,NA,NA,NA,NA
22170,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Saint Peter,NA,NA,NA,antigua barbuda_saint peter,antigua barbuda_saint peter,17.09214097,-61.76062187,state,NA,NA,NA,NA,NA,NA,NA,NA
22171,gadm,ok,AG,NA,NA,NA,Antigua and Barbuda,Saint Philip,NA,NA,NA,antigua barbuda_saint philip,antigua barbuda_saint philip,17.06516821,-61.71070689,state,NA,NA,NA,NA,NA,NA,NA,NA
22172,gadm,ok,AR,NA,NA,NA,Argentina,NA,NA,NA,NA,argentina,argentina,-35.18963704,-65.14467524,country,NA,NA,NA,NA,NA,NA,NA,NA
34066,gbif,check,AR,NA,NA,NA,argentina,2 km al w villa la punta por ruta provincia 34 por camino vecinal,2 km al w villa la punta por ruta provincia 34 por camino vecinal,2 km al w villa la punta por ruta provincia 34 por camino vecinal,2 km al W de Villa La Punta por Ruta Prov. 34 por camino vecinal.,argentina_2 km al w villa la punta por ruta provincia 34 por camino vecinal_2 km al w villa la punta por ruta provincia 34 por camino vecinal_2 km al w villa la punta por ruta provincia 34 por camino vecinal,NA,NA,NA,NA,NA,NA,NA,NA,NA,check_loc_impossible,check_loc_impossible,argentina_2 km al w villa la punta por ruta 34 por camino vecinal_2 km al w villa la punta por ruta provincia 34 por camino vecinal_2 km al w villa la punta por ruta provincia 34 por camino vecinal
12472,splink_jabot,ok,AR,NA,NA,NA,Argentina,argentina,ushuaia,NA,NA,argentina_argentina_ushuaia,argentina_tierra fuego_ushuaia,-54.74886109,-66.87595707,county,NA,NA,NA,NA,NA,NA,NA,NA
12473,splink_jabot,ok,AR,NA,NA,NA,Argentina,bariloche,NA,NA,NA,argentina_bariloche,argentina_rio negro_bariloche,-41.50259938,-71.53117244,county,others,0.0,NA,others,NA,NA,NA,NA
1,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,NA,NA,NA,argentina_buenos aires,argentina_buenos aires,-36.67551764,-60.56197612,state,others,0.0,NA,others,NA,NA,NA,NA
2,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Adolfo Alsina,NA,NA,argentina_buenos aires_adolfo alsina,argentina_buenos aires_adolfo alsina,-37.19907183,-63.06035256,county,others,0.0,NA,others,NA,NA,NA,NA
3,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Adolfo Gonzales Chaves,NA,NA,argentina_buenos aires_adolfo gonzales chaves,argentina_buenos aires_adolfo gonzales chaves,-37.96402436,-60.25176593,county,others,0.0,NA,others,NA,NA,NA,NA
4,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Alberti,NA,NA,argentina_buenos aires_alberti,argentina_buenos aires_alberti,-35.03737288,-60.28669516,county,others,0.0,NA,others,NA,NA,NA,NA
5,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Almirante Brown,NA,NA,argentina_buenos aires_almirante brown,argentina_buenos aires_almirante brown,-34.83861447,-58.36831281,county,others,0.0,NA,others,NA,NA,NA,NA
6,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Ameghino,NA,NA,argentina_buenos aires_ameghino,argentina_buenos aires_ameghino,-34.87653463,-62.39813204,county,others,0.0,NA,others,NA,NA,NA,NA
7,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Arrecifes,NA,NA,argentina_buenos aires_arrecifes,argentina_buenos aires_arrecifes,-34.0121401,-60.06554191,county,others,0.0,NA,others,NA,NA,NA,NA
12474,splink_jabot,check,AR,BA,NA,NA,Argentina,buenos aires,atucha,NA,NA,argentina_buenos aires_atucha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Avellaneda,NA,NA,argentina_buenos aires_avellaneda,argentina_buenos aires_avellaneda,-34.68141572,-58.34008949,county,others,0.0,NA,others,NA,NA,NA,NA
9,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Ayacucho,NA,NA,argentina_buenos aires_ayacucho,argentina_buenos aires_ayacucho,-37.03748763,-58.44635253,county,others,0.0,NA,others,NA,NA,NA,NA
10,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Azul,NA,NA,argentina_buenos aires_azul,argentina_buenos aires_azul,-36.78984413,-59.69951346,county,others,0.0,NA,others,NA,NA,NA,NA
11,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Bahía Blanca,NA,NA,argentina_buenos aires_bahia blanca,argentina_buenos aires_bahia blanca,-38.57978278,-62.16937164,county,others,0.0,NA,others,NA,NA,NA,NA
12,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Balcarce,NA,NA,argentina_buenos aires_balcarce,argentina_buenos aires_balcarce,-37.71755199,-58.27365106,county,others,0.0,NA,others,NA,NA,NA,NA
13,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Baradero,NA,NA,argentina_buenos aires_baradero,argentina_buenos aires_baradero,-33.93424332,-59.4938586,county,others,0.0,NA,others,NA,NA,NA,NA
14,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Benito Juárez,NA,NA,argentina_buenos aires_benito juarez,argentina_buenos aires_benito juarez,-37.59022718,-59.88666266,county,others,0.0,NA,others,NA,NA,NA,NA
15,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Berazategui,NA,NA,argentina_buenos aires_berazategui,argentina_buenos aires_berazategui,-34.8191857,-58.15471431,county,others,0.0,NA,others,NA,NA,NA,NA
16,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Berisso,NA,NA,argentina_buenos aires_berisso,argentina_buenos aires_berisso,-34.90978025,-57.82940116,county,others,0.0,NA,others,NA,NA,NA,NA
17,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Bolívar,NA,NA,argentina_buenos aires_bolivar,argentina_buenos aires_bolivar,-36.29719883,-61.14952261,county,others,0.0,NA,others,NA,NA,NA,NA
18,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Bragado,NA,NA,argentina_buenos aires_bragado,argentina_buenos aires_bragado,-35.06110261,-60.60699132,county,others,0.0,NA,others,NA,NA,NA,NA
19,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Brandsen,NA,NA,argentina_buenos aires_brandsen,argentina_buenos aires_brandsen,-35.22310911,-58.17480912,county,others,0.0,NA,others,NA,NA,NA,NA
12475,splink_jabot,check,AR,BA,NA,NA,Argentina,buenos aires,buenos aires,NA,NA,argentina_buenos aires_buenos aires,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Campana,NA,NA,argentina_buenos aires_campana,argentina_buenos aires_campana,-34.14222716,-58.88577465,county,others,0.0,NA,others,NA,NA,NA,NA
21,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Cañuelas,NA,NA,argentina_buenos aires_canuelas,argentina_buenos aires_canuelas,-35.14877989,-58.69419211,county,others,0.0,NA,others,NA,NA,NA,NA
22,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Capitán Sarmiento,NA,NA,argentina_buenos aires_capitan sarmiento,argentina_buenos aires_capitan sarmiento,-34.15238534,-59.85964502,county,others,0.0,NA,others,NA,NA,NA,NA
23,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Carlos Casares,NA,NA,argentina_buenos aires_carlos casares,argentina_buenos aires_carlos casares,-35.74853912,-61.37576378,county,others,0.0,NA,others,NA,NA,NA,NA
24,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Carlos Tejedor,NA,NA,argentina_buenos aires_carlos tejedor,argentina_buenos aires_carlos tejedor,-35.38302695,-62.42634078,county,others,0.0,NA,others,NA,NA,NA,NA
25,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Carmen de Areco,NA,NA,argentina_buenos aires_carmen areco,argentina_buenos aires_carmen areco,-34.40918178,-59.8872327,county,others,0.0,NA,others,NA,NA,NA,NA
26,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Castelli,NA,NA,argentina_buenos aires_castelli,argentina_buenos aires_castelli,-36.04421934,-57.65417706,county,others,0.0,NA,others,NA,NA,NA,NA
27,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Chacabuco,NA,NA,argentina_buenos aires_chacabuco,argentina_buenos aires_chacabuco,-34.61842938,-60.35652853,county,others,0.0,NA,others,NA,NA,NA,NA
28,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Chascomús,NA,NA,argentina_buenos aires_chascomus,argentina_buenos aires_chascomus,-35.68123832,-57.90801161,county,others,0.0,NA,others,NA,NA,NA,NA
29,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Chivilcoy,NA,NA,argentina_buenos aires_chivilcoy,argentina_buenos aires_chivilcoy,-34.91787434,-59.96346844,county,others,0.0,NA,others,NA,NA,NA,NA
30,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Colón,NA,NA,argentina_buenos aires_colon,argentina_buenos aires_colon,-33.88714926,-61.06606323,county,others,0.0,NA,others,NA,NA,NA,NA
12476,splink_jabot,check,AR,BA,NA,NA,Argentina,buenos aires,corcovado,NA,NA,argentina_buenos aires_corcovado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
