seq,,collectionCode,institutionCode,collectionName,institutionName,scope,numberOfRecords,city,state,country,keywords_en
1,AcariESALQ_USP,AcariESALQ,USP,Coleção de Ácaros da ESALQ,Universidade de São Paulo,animais,17606,Piracicaba,SP,Brasil,acari mites animals arachnids terrestrial invertebrates
3,AMNH-Bee_AMNH,AMNH-Bee,AMNH,Collaborative databasing of North American bee collections within a global informatics network project,American Museum of Natural History,animais,60651,Nova York,NY,Estados Unidos,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
4,ANSP-Ichthyology_ANSP,ANSP-Ichthyology,ANSP,The Academy of Natural Sciences Fish Collection,The Academy of Natural Sciences,animais,146747,Philadelphia,PA,Estados Unidos,animals fishes vertebrates
5,Aranhas-Solobioma_UFPR,Aranhas-Solobioma,UFPR,Coleção de Aranhas Solobioma,Universidade Federal do Paraná,animais,47,Curitiba,PR,Brasil,animals arachnids terrestrial invertebrates
6,ARAR_UPF,ARAR,UPF,Coleção Aracnídeos da UPF,Universidade de Passo Fundo,animais,904,Passo Fundo,RS,Brasil,animals arachnids terrestrial invertebrates
25,CAHZ_UFPB,CAHZ,UFPB,Coleção de Aves Heretiano Zenaide,Universidade Federal da Paraíba,animais,2949,Areia,PB,Brasil,animals birds vertebrates
28,CAUPF_UPF,CAUPF,UPF,Coleção de Anfíbios da UPF,Universidade de Passo Fundo,animais,214,Passo Fundo,RS,Brasil,animals reptiles and amphibians vertebrates
29,CAVESUPF_UPF,CAVESUPF,UPF,Coleção de Aves da Universidade de Passo Fundo,Universidade de Passo Fundo,animais,300,Passo Fundo,RS,Brasil,animals birds vertebrates
31,CBVS_IFSULDEMINAS,CBVS,IFSULDEMINAS,Coleção Biológica de Vespas Sociais,Instituto Federal Sul de Minas Gerais,animais,6197,Inconfidentes,MG,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
33,CECA_UEMA,CECA,UEMA,Coleção Entomológica do Curso de Agronomia,Universidade Estadual do Maranhão,animais,400,São Luís,MA,Brasil,acari mites animals arachnids terrestrial invertebrates
34,CECG_UEPG,CECG,UEPG,Coleção Entomológica dos Campos Gerais do Paraná,Universidade Estatual de Ponta Grossa,animais,1864,Ponta Grossa,PR,Brasil,animals insects terrestrial invertebrates
35,CEMeC_EBDA,CEMeC,EBDA,Coleção Entomológica Moure & Costa,Empresa Baiana de Desenvolvimento Agrícola,animais,18656,Salvador,BA,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
36,CE-MHS_UFSC,CE-MHS,UFSC,Coleção Entomológica Mítia Heusi Silveira,Universidade Federal de Santa Catarina,animais,2722,Florianópolis,SC,Brasil,animals coleoptera beetles and scarabs insects terrestrial invertebrates
37,CEMT_UFMT,CEMT,UFMT,Setor de Entomologia da Coleção Zoológica da Universidade Federal de Mato Grosso,Universidade Federal de Mato Grosso,animais,56423,Cuiabá,MT,Brasil,animals arachnids araneae spiders insects pseudoscorpiones pseudoscorpions book scorpions terrestrial invertebrates
