order,source,status,author.ID,name,variant.name,author.name,author.abbrev,standard.name,full.name,geog.author,geog.collector,tax,tax.rank,tax.obs,full.name1,tdwg.name,last.name,finger.print,family1,obs,tax.kingdom,tax.phylum,tax.class,tax.order,email,orcid,raw_data
10014,gbif_GSG,exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arecaceae?,NA,NA,NA,", G.J.-J.",-j.,NA,153.0,NA,plantae,NA,NA,NA,NA,NA,NA
15701,gbif_GSG,exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,Violaceae?,NA,NA,NA,", P.-S.J.",",",NA,238.0,NA,plantae,NA,NA,NA,NA,NA,NA
13236,gbif_GSG,to_check_low_priority,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malvaceae?,NA,NA,NA,""" Junior, A.C.P.",""" junior",NA,264.0,NA,plantae,NA,NA,NA,NA,NA,NA
15310,gbif_GSG,to_check_low_priority,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solanaceae?,NA,NA,NA,""" Junior, A.C.P.",""" junior",NA,170.0,NA,plantae,NA,NA,NA,NA,NA,NA
8385,flora_neotropica,ok,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraceae,family,"Moreae, Artocarpeae, Dorstenia, Olmedieae, Brosimeae",Cornelis C. Berg,"""Berg, C.C.","""berg",bccegr,132.0,NA,plantae,NA,NA,NA,NA,NA,NA
8825,aspt,ok,1532.0,"Berry, Paul Edward","Berry, P. E.",P. E. Berry,P. E. Berry,P. E. Berry,"Berry, Paul Edward",USA,NA,Euphorbiaceae,family,"Euphorbia, Croton",Paul Edward Berry,"""Berry, P.E.","""berry",beeprry,22.0,NA,plantae,NA,NA,NA,NA,NA,NA
8414,huh,ok,65658.0,"Grimes, James Walter",James W. Grimes,J. W. Grimes,J. W. Grimes,J. W. Grimes,"Grimes, James Walter",USA,NA,Fabaceae,family,NA,James Walter Grimes,"""Grimes, J.W.","""grimes",egijmrsw,116.0,NA,plantae,NA,NA,NA,NA,NA,NA
8863,huh,ok,19808.0,"Guimaraes, Elsie Franklin",Elsie Franklin Guimaraes,E. F. Guimaraes,E. F. Guimar.,E. F. Guimaraes,"Guimaraes, Elsie Franklin",Brazil,Brazil,Piperaceae,family,NA,Elsie Franklin Guimarães,"""Guimaraes, E.F.","""guimaraes",aaeefgimrsu,14.0,NA,plantae,NA,NA,NA,NA,NA,NA
8096,aspt,ok,2447.0,"Kirkbride, Joseph Harold, Jr.",Joseph Harold Kirkbride Junior,J. H. Kirkbride,J. H. Kirkbr.,J. H. Kirkbride,"Kirkbride, Joseph Harold, Jr.",USA,NA,Rubiaceae,family,NA,Joseph Harold Kirkbride Junior,"""Kirkbride Junior, J.H.","""kirkbride junior",bdehiiijjkknorrru,1022.0,NA,plantae,NA,NA,NA,NA,NA,NA
14462,gbif_GSG,ok,2447.0,"Kirkbride, Joseph Harold, Jr.",Joseph Harold Kirkbride Junior,J. H. Kirkbride,J. H. Kirkbr.,J. H. Kirkbride,"Kirkbride, Joseph Harold, Jr.",USA,NA,Rubiaceae,family,NA,Joseph Harold Kirkbride Junior,"""kirkbride Junior, J.H.","""kirkbride junior",NA,1008.0,NA,plantae,NA,NA,NA,NA,NA,NA
4921,huh,ok,74776.0,"Rico, Maria de Lourdes","""Lulu""",L. Rico,L. Rico,L. Rico,"Rico, Maria de Lourdes",NA,NA,Fabaceae,family,Mimosaceae,Maria de Lourdes Rico,"""lulu""","""lulu""",lluu,[author note: K; Mimosaceae],NA,plantae,NA,NA,NA,NA,NA,NA
8205,huh,ok,3467.0,"Maas, Paulus Johannes Maria","Maas, P. J. M.",Maas,Maas,P. J. M. Maas,"Maas, Paulus Johannes Maria",Netherlands,Costa Rica; Jamaica; Netherlands; Surinam; Trinidad and Tobago; Venezuela,Annonaceae,family,NA,Paulus Johannes Maria Maas,"""Maas, P.J.M.","""maas",aajmmps,318.0,NA,plantae,NA,NA,NA,NA,NA,NA
