type,basisOfRecord,institutionCode,collectionCode,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,eventDate,year,month,day,country,stateProvince,municipality,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,identifiedBy,dateIdentified,typeStatus,scientifname,kingdom,phylum,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,modified,occurrenceID_GBIF,rightsHolder
Collection,PreservedSpecimen,RB,RB,133188,"arvoreta de ca. 5m de alt., botões florais esverdeados, borda de mata ",928,P.L.R. Moraes; H.C. Lima; C.C. Diniz & D.S. Farias,23/04/1994,1994,4,23,Brasil,São Paulo,,"São Miguel Arcanjo, Paeque Estadual de Carlos Botelho.",NA,NA,NA,NA,,,,Ocotea tabacifolia (Meisn.) Rohwer,Plantae,NA,LAURACEAE,Ocotea,tabacifolia,,specie,(Meisn.) Rohwer,22/07/2014,urn:catalog:RB:133188,RB
Collection,PreservedSpecimen,RB,RB,311322,"arvoreta, ca. 4m de altura, sub-bosque, frutos imaturos, baixada, beira d´ água, tronco liso, cinza, não escamante.",697,"Moraes, Pedro L.R. de",05/07/1992,1992,7,5,Brasil,São Paulo,,Município de São Miguel Arcanjo - Parque Estadual Carlos Botelho.,NA,NA,NA,NA,Barroso,17/09/1992,,Myrceugenia myrcioides (Cambess.) O.Berg,Plantae,NA,MYRTACEAE,Myrceugenia,myrcioides,,specie,(Cambess.) O.Berg,22/07/2014,urn:catalog:RB:311322,RB
Collection,PreservedSpecimen,RB,RB,784679,"Arvoreta, ca. 3 m alt, botões sericeos acastanhados.",922,P.L.R. de Moraes,22/04/1994,1994,4,22,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual de Carlos Botelho. Beira de estrada, local aberto.",NA,NA,NA,NA,,,,Andira fraxinifolia Benth.,Plantae,NA,LEGUMINOSAE,Andira,fraxinifolia,,specie,Benth.,08/07/2014,urn:catalog:RB:784679,RB
Collection,PreservedSpecimen,RB,RB,218837,,,Pedro L.R. de Moraes,06/10/1990,1990,10,6,Brasil,São Paulo,São Miguel Arcanjo,parque Estadual Carlos Botelho.,NA,NA,NA,NA,,,,MARCGRAVIACEAE,Plantae,NA,MARCGRAVIACEAE,,,,family,,22/07/2014,urn:catalog:RB:218837,RB
Collection,PreservedSpecimen,RB,RB,128883,"àrvore 18m, frutos imaturos verdes",2340,Pedro L.R.de Morães,16/01/2001,2001,1,16,Brasil,São Paulo,Sete Barras,"Parque Estadual Carlos Botelho, Núcle Sete Barras.",NA,NA,-24.1969444,-47.93,Pedro L.R.de Moraes,03/02/2009,,Cryptocarya mandioccana Meisn.,Plantae,NA,LAURACEAE,Cryptocarya,mandioccana,,specie,Meisn.,22/07/2014,urn:catalog:RB:128883,RB
Collection,PreservedSpecimen,RB,RB,305402,,,Pedro Luiz Rodrigues de Moraes,22/04/1994,NA,NA,NA,Brasil,São Paulo,,"Parque Estadual Carlos Botelho, sul do Estado. Áreas dos Mun. de São Miguel Arcanjo, Capão Bonito e Sete Barros, ao longo da chamada Escarpa Atlântica; Serra de Paranapiacaba. Área de 37432,43 ha.",NA,NA,-24.7333333,-47.7666667,M. Ibrahim,24/05/2010,,Campomanesia guaviroba (DC.) Kiaersk.,Plantae,NA,MYRTACEAE,Campomanesia,guaviroba,,specie,(DC.) Kiaersk.,18/10/2017,urn:catalog:RB:305402,RB
Collection,PreservedSpecimen,RB,RB,821764,"Arvoreta +/- 7m, borda da mata, flores brancas",2109,P.L.R. Moraes,28/12/1999,1999,12,28,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,J. Nascimento-Jr.,20/05/2014,,Clusia criuva ssp. parviflora Vesque,Plantae,NA,GUTTIFERAE,Clusia,criuva,parviflora,ssp.,Cambess.,08/07/2014,urn:catalog:RB:821764,RB
Collection,PreservedSpecimen,RB,RB,130357,"ÁRV. DE 10 M, FLORES BRANCAS, BEIRA DE ESTR.",972,P.L.R. MORAIS,24/04/1994,1994,4,24,Brasil,São Paulo,São Miguel Arcanjo,P.E. DE CARLOS BOTELHO.,NA,NA,NA,NA,,,,Nectandra oppositifolia Nees,Plantae,NA,LAURACEAE,Nectandra,oppositifolia,,specie,Nees,22/07/2014,urn:catalog:RB:130357,RB
Collection,PreservedSpecimen,RB,RB,974779,Árvore 8 m; frutos esverdeados,1355,G.D. Colletta et. al.;,13/04/2014,2014,4,13,Brasil,São Paulo,São Miguel Arcanjo,P.E. Carlos Botelho; trilha da represa.,NA,NA,NA,NA,G.D. Colletta e M.A. Ferreira,2014,,Campomanesia phaea (O.Berg) Landrum,Plantae,NA,MYRTACEAE,Campomanesia,phaea,,specie,(O.Berg) Landrum,24/06/2015,urn:catalog:RB:974779,RB
Collection,PreservedSpecimen,RB,RB,936151,Árvore de 3m de altura. Flores brancas; anteras amarelas,101,S. Bortoleto,22/04/2002,2002,4,22,Brasil,São Paulo,São Miguel Arcanjo,"PArque Estadual Carlos Botelho, Núcleo S.M. Arcanjo.",NA,NA,-24.0538889,-47.9933333,V.C. Souza; V.L.C.R. Uliana; C.A. Righi; C.A. de M. Scaramuzza; S.G. Rolim et R. Farias,,,Solanum variabile Mart.,Plantae,NA,SOLANACEAE,Solanum,variabile,,specie,Mart.,18/03/2015,urn:catalog:RB:936151,RB
