order,collection.string,collectioncode.gbif,institutioncode.gbif,name,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,OBS
1,HERB_-,HERB,-,NA,NA,NA,,,,,not in IH
2,General herbarium_A,General herbarium,A,NA,NA,A,Harvard University,NA,NA,Herbarium of the Arnold Arboretum,
3,HERB_A,HERB,A,NA,NA,A,Harvard University,NA,NA,Herbarium of the Arnold Arboretum,
4,VascularPlants_A,VascularPlants,A,NA,NA,A,Harvard University,NA,NA,Herbarium of the Arnold Arboretum,
5,Antarctic Plant Database_AAS,Antarctic Plant Database,AAS,NA,NA,AAS,British Antarctic Survey,Biosciences Division,NA,Herbarium,
6,HERB_AAU,HERB,AAU,NA,NA,AAU,Aarhus University,NA,Science  Museums,Herbarium,
7,Herbarium_AAU,Herbarium,AAU,NA,NA,AAU,Aarhus University,NA,Science  Museums,Herbarium,
8,University of Aarhus_AAU,University of Aarhus,AAU,NA,NA,AAU,Aarhus University,NA,Science  Museums,Herbarium,
9,ABH_ABH,ABH,ABH,NA,NA,ABH,Universidad de Alicante,NA,Depto. Ciencias Ambientales y Recursos Naturales,Herbario,
10,ACAD_Acadia University,ACAD,Acadia University,NA,Acadia University,ACAD,Acadia University,NA,K. C. Irving Environmental Science Centre & Harriet Irving Botanical Gardens,E. C. Smith Herbarium,
11,CBU_Acadia University,CBU,Acadia University,NA,Acadia University,ACAD,Acadia University,NA,K. C. Irving Environmental Science Centre & Harriet Irving Botanical Gardens,E. C. Smith Herbarium,
12,AD_AD,AD,AD,NA,NA,AD,State Herbarium of South Australia,NA,NA,NA,
13,HERB_AD,HERB,AD,NA,NA,AD,State Herbarium of South Australia,NA,NA,NA,
14,AFM_AFM,AFM,AFM,NA,NA,AFM,,,,,not in IH
15,University of Michigan_AFS,University of Michigan,AFS,NA,NA,AFS,American Fern Society Herbarium,NA,NA,Herbarium,
16,DAO_Agriculture &#38; Agri-Food Canada,DAO,Agriculture &#38; Agri-Food Canada,NA,NA,DAO,Agriculture and Agri-Food Canada,Science and Technology Branch,NA,National Collection of Vascular Plants,
17,AK_AK,AK,AK,NA,NA,AK,Auckland War Memorial Museum,NA,NA,Herbarium,
18,vs_AKPM,vs,AKPM,NA,NA,AKPM,Akita Prefectural Museum,NA,NA,Herbarium,
19,ALB_ALB,ALB,ALB,NA,NA,EURISCO,,,,,
20,HERB_ALCB,HERB,ALCB,NA,NA,ALCB,"Universidade Federal da Bahia, Campus Universitário de Ondina",Instituto de Biologia,NA,Herbário Alexandre Leal Costa,
21,ALF_ALF,ALF,ALF,NA,NA,ALF,CIRAD,TA C 112/A,NA,Herbier ALF du CIRAD,
22,BAMBO_ANDUZE,BAMBO,ANDUZE,NA,NA,BAMBO,,,,,not in IH
23,ANG_ANG,ANG,ANG,NA,NA,ANG,Muséum des sciences naturelles d'Angers,NA,Botanique,Herbier du Muséum d'Angers,
24,ANG-GB_ANG,ANG-GB,ANG,NA,NA,ANG,Muséum des sciences naturelles d'Angers,NA,Botanique,Herbier du Muséum d'Angers,
25,ANG-JL_ANG,ANG-JL,ANG,NA,NA,ANG,Muséum des sciences naturelles d'Angers,NA,Botanique,Herbier du Muséum d'Angers,
26,ANVL_ANVL,ANVL,ANVL,NA,NA,ANVL,Association des Naturalistes de la Vallée du Loing et du Massif de Fontainebleau,NA,NA,Herbarium,
27,PI-IABIN_APN-AR,PI-IABIN,APN-AR,NA,NA,PI-IABIN,,,,,not in IH
28,Pl_AQP,Pl,AQP,NA,NA,AQP,Estudios Fitogeográficos del Perú,NA,NA,Herbario,
29,Aran_ARAN,Aran,ARAN,NA,NA,ARAN,Aranzadi Zientzia Elkartea/Sociedad de Ciencias Aranzadi,NA,Departamento de Botánica,Herbario,
30,HERB_ARIZ,HERB,ARIZ,NA,NA,ARIZ,University of Arizona,NA,School of Plant Sciences,Herbarium,
31,ARM_ARM,ARM,ARM,NA,NA,EURISCO,,,,,
32,HERB_AS,HERB,AS,NA,NA,AS,Jardín Botánico,NA,NA,Herbario,
33,Jardin Botanico_AS,Jardin Botanico,AS,NA,NA,AS,Jardín Botánico,NA,NA,Herbario,
34,Jardín Botánico_AS,Jardín Botánico,AS,NA,NA,AS,Jardín Botánico,NA,NA,Herbario,
35,Arizona State University_ASU,Arizona State University,ASU,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),ASU,Arizona State University,School of Life Sciences,NA,Herbarium (ASU),
36,ASU_ASU,ASU,ASU,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),ASU,Arizona State University,School of Life Sciences,NA,Herbarium (ASU),
37,ASUPlants_ASU,ASUPlants,ASU,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),ASU,Arizona State University,School of Life Sciences,NA,Herbarium (ASU),
38,HERB_ASU,HERB,ASU,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),ASU,Arizona State University,School of Life Sciences,NA,Herbarium (ASU),
39,AUT_AUT,AUT,AUT,NA,NA,EURISCO,,,,,
40,AV_AV,AV,AV,NA,NA,AV,Muséum Requien,NA,NA,Herbier,
41,AZE_AZE,AZE,AZE,NA,NA,EURISCO,,,,,
42,Blettaucoll_B,Blettaucoll,B,NA,NA,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA,NA,Herbarium,
43,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitat Berlin_B","Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitat Berlin",B,NA,NA,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA,NA,Herbarium,
44,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin_B","Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",B,NA,NA,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA,NA,Herbarium,
45,FMNH-B-Types_B,FMNH-B-Types,B,NA,NA,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA,NA,Herbarium,
