"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","class","order","continentOcean","occurrenceRemarks","relatedCatalogItem","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","relationshipType","fieldNumber","typeStatus"
"1","2019-12-04 15:26:25-03","PUCPR","HUCP","24191","S","Plantae","Monocotiledonea","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","Lozano, E","Lozano, E; Bonaldi, R","936","2011","12","03","Brasil","Paraná","Ortigueira","-50.9494018554688","-24.2082996368408","46016","HUCP00000252","HUCP00000252_1 HUCP00000252_2 HUCP00000252_3","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:26:25-03","PUCPR","HUCP","17770","S","Plantae","Monocotiledonea","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","Bonaldi, R","Bonaldi, R","193","2007","04","14","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","HUCP00004833","HUCP00004833_1 HUCP00004833_2","auto","2007","05","16","Tinguçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:44:55-03","NBC","NL-BOTANY","L.1412869","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Dusén PKH",NA,"1907","09","01","Brazil",NA,NA,NA,NA,NA,"NL-L1412869","NL-L1412869",NA,NA,NA,NA,"Prov.ce de Ste. Catherine.","Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1412869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U 0145809","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Lindeman JC; Haas JH de",NA,"1966","03","19","Brazil","Paraná",NA,NA,NA,NA,"NL-U0145809",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200145809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U 0273884","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Lindeman JC; Haas JH de",NA,"1966","03","19","Brazil","Paraná",NA,NA,NA,NA,"NL-U0273884",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200273884 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Uw12664",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U.1123605","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.","Wessels Boer JG","Lindeman JC; Haas JH de",NA,"1966","04","02","Brazil","Paraná",NA,NA,NA,NA,"NL-U1123605","NL-U1123605",NA,"1971","08","01",NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123605 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","U 0145808",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U.1123606","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Lindeman JC; Haas JH de",NA,"1966","03","19","Brazil","Paraná",NA,NA,NA,NA,"NL-U1123606","NL-U1123606",NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123606 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","U 0145804",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U.1123607","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Lindeman JC; Haas JH de",NA,"1966","03","19","Brazil","Paraná",NA,NA,NA,NA,"NL-U1123607","NL-U1123607",NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123607 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","U 0145807",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U.1123608","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Lindeman JC; Haas JH de",NA,"1966","03","19","Brazil","Paraná",NA,NA,NA,NA,"NL-U1123608","NL-U1123608",NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123608 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","U 0145806",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U.1123609","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Lindeman JC; Haas JH de",NA,"1966","03","19","Brazil","Paraná",NA,NA,NA,NA,"NL-U1123609","NL-U1123609",NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123609 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","U 0145805",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U.1123610","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Valls JFM; Irgang BE",NA,"1972","05","18","Brazil","Rio Grande do Sul",NA,NA,NA,NA,"NL-U1123610","NL-U1123610",NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123610 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","U 0145802",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:44:55-03","NBC","NL-BOTANY","U.1123611","PreservedSpecimen","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis","Mart.",NA,"Valls JFM; Irgang BE",NA,"1972","05","18","Brazil","Rio Grande do Sul",NA,NA,NA,NA,"NL-U1123611","NL-U1123611",NA,NA,NA,NA,NA,"Magnoliopsidae","Arecales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123611 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","U 0145803",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-12 12:01:14-03","UFPI","TEPB","19381","PreservedSpecimen","Plantae",NA,"Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","L. R. Nobblick","B.M.T. Walter et al.","1044","1991","12","12","Brasil","Goiás","Colinas do Sul","-48.3","-13.833333",NA,NA,NA,NA,"1998",NA,NA,"Abaixo da linha de transmissão que liga Niquelandia a Serra da Mesa, entrada a 2km da entrada Sul/Canteiro",NA,NA,NA,"Palmeira de 15m altura, folhas adultas, frutos maduros roxos quase negros (atropurpureos), flores femininas secas, masculins ausentes, solo areno-argiloso com forte camada de serrapilheira Ambiente: Mata de galeria",NA,"48° 18' W","13° 50' S","380","380",NA,NA,NA,NA,NA
"14","2016-02-02 14:38:48-02","BGBM","B","B 10 0347376","S","Plantae",NA,"Palmae","Euterpe","edulis","Euterpe edulis",NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"B100347376","B100347376",NA,NA,NA,NA,NA,NA,NA,"Middle and South America","<a href=http://herbarium.bgbm.org/object/B100347376 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-27 13:26:42-03","IAP","PACA-AGP","41562","PreservedSpecimen","Plantae","Magnoliophyta","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","B. Rambo","Rambo, B.",NA,"1949","05","15","Brasil","RS","Vila Manresa",NA,NA,NA,"PACA041562",NA,NA,"1954","09","05",NA,"Liliopsida","Arecales",NA,"Habitat: Culta Fenofase: juvenilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-27 13:26:42-03","IAP","PACA-AGP","45905","PreservedSpecimen","Plantae","Magnoliophyta","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","Emrich-Rambo","Rambo, B.",NA,"1950","02","21","Brasil","RS","Lagoa dos Quadros",NA,NA,NA,"PACA045905",NA,NA,"1954","09","05",NA,"Liliopsida","Arecales",NA,"Habitat: In silva subpaludosa Fenofase: fruto deciso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
